seed,window,method,n_pairs,n_positives,p_at_50,p_at_100,p_at_250
105,1,HygienePrio-full,1722,163,0.62,0.55,0.524
105,1,EPSS-only,1722,163,0.32,0.39,0.368
105,1,CVSS-only,1722,163,0.06,0.1,0.088
105,1,HRS-only,1722,163,0.24,0.24,0.256
105,1,Random,1722,163,0.04,0.05,0.068
105,2,HygienePrio-full,1682,136,0.56,0.55,0.472
105,2,EPSS-only,1682,136,0.2,0.28,0.32
105,2,CVSS-only,1682,136,0.06,0.06,0.08
105,2,HRS-only,1682,136,0.22,0.2,0.216
105,2,Random,1682,136,0.1,0.11,0.088
105,3,HygienePrio-full,1634,116,0.6,0.57,0.412
105,3,EPSS-only,1634,116,0.14,0.24,0.288
105,3,CVSS-only,1634,116,0.06,0.07,0.068
105,3,HRS-only,1634,116,0.18,0.23,0.208
105,3,Random,1634,116,0.16,0.12,0.096
105,4,HygienePrio-full,1588,109,0.48,0.49,0.348
105,4,EPSS-only,1588,109,0.04,0.17,0.268
105,4,CVSS-only,1588,109,0.06,0.08,0.064
105,4,HRS-only,1588,109,0.16,0.18,0.172
105,4,Random,1588,109,0.1,0.09,0.076
105,5,HygienePrio-full,1543,106,0.56,0.55,0.352
105,5,EPSS-only,1543,106,0.1,0.24,0.3
105,5,CVSS-only,1543,106,0.1,0.09,0.06
105,5,HRS-only,1543,106,0.06,0.09,0.144
105,5,Random,1543,106,0.06,0.08,0.084
105,6,HygienePrio-full,1496,88,0.54,0.43,0.312
105,6,EPSS-only,1496,88,0.06,0.15,0.252
105,6,CVSS-only,1496,88,0.04,0.08,0.048
105,6,HRS-only,1496,88,0.04,0.05,0.136
105,6,Random,1496,88,0.04,0.06,0.064
106,1,HygienePrio-full,1742,171,0.64,0.6,0.568
106,1,EPSS-only,1742,171,0.24,0.35,0.388
106,1,CVSS-only,1742,171,0.02,0.04,0.104
106,1,HRS-only,1742,171,0.3,0.38,0.336
106,1,Random,1742,171,0.1,0.1,0.096
106,2,HygienePrio-full,1694,153,0.56,0.63,0.532
106,2,EPSS-only,1694,153,0.14,0.32,0.376
106,2,CVSS-only,1694,153,0.02,0.05,0.08
106,2,HRS-only,1694,153,0.3,0.32,0.268
106,2,Random,1694,153,0.08,0.09,0.08
106,3,HygienePrio-full,1648,137,0.76,0.64,0.448
106,3,EPSS-only,1648,137,0.2,0.27,0.336
106,3,CVSS-only,1648,137,0.02,0.06,0.06
106,3,HRS-only,1648,137,0.24,0.24,0.236
106,3,Random,1648,137,0.08,0.05,0.072
106,4,HygienePrio-full,1601,104,0.46,0.5,0.36
106,4,EPSS-only,1601,104,0.0,0.13,0.296
106,4,CVSS-only,1601,104,0.02,0.04,0.056
106,4,HRS-only,1601,104,0.16,0.17,0.152
106,4,Random,1601,104,0.02,0.06,0.064
