cell_K,cell_lambda,seed,window,method,n_pairs,n_positives,p_at_50,p_at_100,p_at_250
10,1.0,105,1,HygienePrio-full,1722,163,0.62,0.55,0.524
10,1.0,105,1,EPSS-only,1722,163,0.32,0.39,0.368
10,1.0,105,1,CVSS-only,1722,163,0.06,0.1,0.088
10,1.0,105,1,HRS-only,1722,163,0.24,0.24,0.256
10,1.0,105,1,Random,1722,163,0.04,0.05,0.068
10,1.0,105,2,HygienePrio-full,1714,163,0.56,0.54,0.528
10,1.0,105,2,EPSS-only,1714,163,0.28,0.37,0.34
10,1.0,105,2,CVSS-only,1714,163,0.06,0.09,0.1
10,1.0,105,2,HRS-only,1714,163,0.28,0.27,0.272
10,1.0,105,2,Random,1714,163,0.12,0.1,0.124
10,1.0,105,3,HygienePrio-full,1705,159,0.52,0.52,0.496
10,1.0,105,3,EPSS-only,1705,159,0.22,0.32,0.312
10,1.0,105,3,CVSS-only,1705,159,0.1,0.11,0.104
10,1.0,105,3,HRS-only,1705,159,0.28,0.25,0.26
10,1.0,105,3,Random,1705,159,0.1,0.1,0.088
10,1.0,105,4,HygienePrio-full,1698,156,0.52,0.55,0.48
10,1.0,105,4,EPSS-only,1698,156,0.18,0.3,0.316
10,1.0,105,4,CVSS-only,1698,156,0.08,0.11,0.096
10,1.0,105,4,HRS-only,1698,156,0.26,0.25,0.264
10,1.0,105,4,Random,1698,156,0.14,0.11,0.112
10,1.0,105,5,HygienePrio-full,1689,152,0.46,0.54,0.492
10,1.0,105,5,EPSS-only,1689,152,0.18,0.28,0.304
10,1.0,105,5,CVSS-only,1689,152,0.06,0.08,0.1
10,1.0,105,5,HRS-only,1689,152,0.22,0.25,0.272
10,1.0,105,5,Random,1689,152,0.1,0.13,0.104
10,1.0,105,6,HygienePrio-full,1679,152,0.48,0.61,0.504
10,1.0,105,6,EPSS-only,1679,152,0.22,0.3,0.304
10,1.0,105,6,CVSS-only,1679,152,0.1,0.08,0.096
10,1.0,105,6,HRS-only,1679,152,0.24,0.27,0.26
10,1.0,105,6,Random,1679,152,0.06,0.05,0.068
10,1.0,106,1,HygienePrio-full,1742,171,0.64,0.6,0.568
10,1.0,106,1,EPSS-only,1742,171,0.24,0.35,0.388
10,1.0,106,1,CVSS-only,1742,171,0.02,0.04,0.104
10,1.0,106,1,HRS-only,1742,171,0.3,0.38,0.336
10,1.0,106,1,Random,1742,171,0.1,0.1,0.096
10,1.0,106,2,HygienePrio-full,1733,178,0.6,0.6,0.564
10,1.0,106,2,EPSS-only,1733,178,0.18,0.36,0.372
10,1.0,106,2,CVSS-only,1733,178,0.04,0.05,0.092
10,1.0,106,2,HRS-only,1733,178,0.28,0.38,0.332
10,1.0,106,2,Random,1733,178,0.1,0.13,0.108
10,1.0,106,3,HygienePrio-full,1725,169,0.62,0.63,0.536
10,1.0,106,3,EPSS-only,1725,169,0.14,0.36,0.368
10,1.0,106,3,CVSS-only,1725,169,0.04,0.05,0.104
10,1.0,106,3,HRS-only,1725,169,0.34,0.34,0.308
10,1.0,106,3,Random,1725,169,0.08,0.08,0.088
10,1.0,106,4,HygienePrio-full,1716,171,0.6,0.61,0.532
10,1.0,106,4,EPSS-only,1716,171,0.12,0.35,0.348
10,1.0,106,4,CVSS-only,1716,171,0.02,0.03,0.084
10,1.0,106,4,HRS-only,1716,171,0.32,0.36,0.284
10,1.0,106,4,Random,1716,171,0.16,0.14,0.104
10,1.0,106,5,HygienePrio-full,1708,182,0.64,0.63,0.544
10,1.0,106,5,EPSS-only,1708,182,0.18,0.36,0.36
10,1.0,106,5,CVSS-only,1708,182,0.02,0.02,0.076
10,1.0,106,5,HRS-only,1708,182,0.32,0.35,0.292
10,1.0,106,5,Random,1708,182,0.1,0.12,0.088
10,1.0,106,6,HygienePrio-full,1698,187,0.62,0.64,0.548
10,1.0,106,6,EPSS-only,1698,187,0.18,0.35,0.372
10,1.0,106,6,CVSS-only,1698,187,0.02,0.03,0.1
10,1.0,106,6,HRS-only,1698,187,0.36,0.33,0.304
10,1.0,106,6,Random,1698,187,0.02,0.05,0.12
10,1.0,107,1,HygienePrio-full,1758,172,0.66,0.55,0.488
10,1.0,107,1,EPSS-only,1758,172,0.3,0.31,0.316
10,1.0,107,1,CVSS-only,1758,172,0.2,0.13,0.124
10,1.0,107,1,HRS-only,1758,172,0.28,0.28,0.288
10,1.0,107,1,Random,1758,172,0.08,0.1,0.112
10,1.0,107,2,HygienePrio-full,1749,165,0.56,0.51,0.468
10,1.0,107,2,EPSS-only,1749,165,0.18,0.25,0.3
10,1.0,107,2,CVSS-only,1749,165,0.2,0.15,0.128
10,1.0,107,2,HRS-only,1749,165,0.26,0.24,0.248
10,1.0,107,2,Random,1749,165,0.08,0.1,0.092
10,1.0,107,3,HygienePrio-full,1739,163,0.5,0.49,0.468
10,1.0,107,3,EPSS-only,1739,163,0.14,0.26,0.296
10,1.0,107,3,CVSS-only,1739,163,0.16,0.14,0.12
10,1.0,107,3,HRS-only,1739,163,0.18,0.2,0.26
10,1.0,107,3,Random,1739,163,0.18,0.11,0.104
10,1.0,107,4,HygienePrio-full,1730,159,0.44,0.47,0.476
10,1.0,107,4,EPSS-only,1730,159,0.1,0.19,0.296
10,1.0,107,4,CVSS-only,1730,159,0.16,0.12,0.124
10,1.0,107,4,HRS-only,1730,159,0.28,0.27,0.284
10,1.0,107,4,Random,1730,159,0.12,0.09,0.092
10,1.0,107,5,HygienePrio-full,1720,168,0.52,0.52,0.484
10,1.0,107,5,EPSS-only,1720,168,0.12,0.22,0.312
10,1.0,107,5,CVSS-only,1720,168,0.2,0.17,0.136
10,1.0,107,5,HRS-only,1720,168,0.24,0.26,0.284
10,1.0,107,5,Random,1720,168,0.1,0.09,0.108
10,1.0,107,6,HygienePrio-full,1710,171,0.58,0.56,0.516
10,1.0,107,6,EPSS-only,1710,171,0.12,0.21,0.312
10,1.0,107,6,CVSS-only,1710,171,0.18,0.15,0.132
10,1.0,107,6,HRS-only,1710,171,0.26,0.28,0.3
10,1.0,107,6,Random,1710,171,0.12,0.14,0.144
10,1.0,108,1,HygienePrio-full,1725,155,0.5,0.55,0.46
10,1.0,108,1,EPSS-only,1725,155,0.24,0.24,0.28
10,1.0,108,1,CVSS-only,1725,155,0.0,0.06,0.076
10,1.0,108,1,HRS-only,1725,155,0.36,0.32,0.3
10,1.0,108,1,Random,1725,155,0.04,0.04,0.064
10,1.0,108,2,HygienePrio-full,1719,154,0.48,0.53,0.456
10,1.0,108,2,EPSS-only,1719,154,0.18,0.24,0.284
10,1.0,108,2,CVSS-only,1719,154,0.02,0.07,0.076
10,1.0,108,2,HRS-only,1719,154,0.4,0.32,0.32
10,1.0,108,2,Random,1719,154,0.08,0.13,0.128
10,1.0,108,3,HygienePrio-full,1710,156,0.48,0.5,0.468
10,1.0,108,3,EPSS-only,1710,156,0.14,0.2,0.28
10,1.0,108,3,CVSS-only,1710,156,0.02,0.05,0.068
10,1.0,108,3,HRS-only,1710,156,0.42,0.37,0.296
10,1.0,108,3,Random,1710,156,0.06,0.08,0.1
10,1.0,108,4,HygienePrio-full,1700,158,0.56,0.5,0.472
10,1.0,108,4,EPSS-only,1700,158,0.12,0.21,0.272
10,1.0,108,4,CVSS-only,1700,158,0.02,0.06,0.088
10,1.0,108,4,HRS-only,1700,158,0.42,0.33,0.288
10,1.0,108,4,Random,1700,158,0.12,0.09,0.076
10,1.0,108,5,HygienePrio-full,1692,160,0.52,0.5,0.464
10,1.0,108,5,EPSS-only,1692,160,0.08,0.2,0.26
10,1.0,108,5,CVSS-only,1692,160,0.02,0.03,0.076
10,1.0,108,5,HRS-only,1692,160,0.42,0.33,0.28
10,1.0,108,5,Random,1692,160,0.08,0.08,0.088
10,1.0,108,6,HygienePrio-full,1682,160,0.6,0.52,0.472
10,1.0,108,6,EPSS-only,1682,160,0.12,0.21,0.268
10,1.0,108,6,CVSS-only,1682,160,0.0,0.04,0.072
10,1.0,108,6,HRS-only,1682,160,0.38,0.32,0.276
10,1.0,108,6,Random,1682,160,0.06,0.08,0.08
10,1.0,109,1,HygienePrio-full,1724,167,0.66,0.58,0.488
10,1.0,109,1,EPSS-only,1724,167,0.32,0.35,0.328
10,1.0,109,1,CVSS-only,1724,167,0.06,0.08,0.088
10,1.0,109,1,HRS-only,1724,167,0.36,0.32,0.292
10,1.0,109,1,Random,1724,167,0.06,0.06,0.084
10,1.0,109,2,HygienePrio-full,1714,159,0.58,0.56,0.484
10,1.0,109,2,EPSS-only,1714,159,0.28,0.34,0.332
10,1.0,109,2,CVSS-only,1714,159,0.1,0.1,0.092
10,1.0,109,2,HRS-only,1714,159,0.38,0.3,0.276
10,1.0,109,2,Random,1714,159,0.02,0.04,0.08
10,1.0,109,3,HygienePrio-full,1704,155,0.54,0.5,0.456
10,1.0,109,3,EPSS-only,1704,155,0.2,0.31,0.34
10,1.0,109,3,CVSS-only,1704,155,0.1,0.1,0.088
10,1.0,109,3,HRS-only,1704,155,0.28,0.27,0.268
10,1.0,109,3,Random,1704,155,0.1,0.09,0.108
10,1.0,109,4,HygienePrio-full,1694,153,0.54,0.53,0.464
10,1.0,109,4,EPSS-only,1694,153,0.16,0.29,0.32
10,1.0,109,4,CVSS-only,1694,153,0.08,0.1,0.096
