cell_id,strategy,weight_vector,n_pairs,delta_ehd_mean,delta_ehd_median,delta_ehd_std,delta_ehd_min,delta_ehd_max,baseline_ehd_mean,baseline_strategy
P-cvss_only-na,cvss_only,na,30,-163.200000,-144.000000,4684.750480,-12096.000000,10080.000000,3322860768.000000,epss_only
P-cvss_plus_epss_plus_kev-na,cvss_plus_epss_plus_kev,na,30,102.933333,192.000000,958.073316,-1616.000000,2480.000000,3322860768.000000,epss_only
P-cvss_x_epss-na,cvss_x_epss,na,30,374.400000,432.000000,2181.771656,-3168.000000,6048.000000,3322860768.000000,epss_only
P-epss_only-na,epss_only,na,30,0.000000,0.000000,0.000000,0.000000,0.000000,3322860768.000000,epss_only
P-kev_first-na,kev_first,na,30,139.733333,224.000000,1656.769081,-2944.000000,5280.000000,3322860768.000000,epss_only
P-proposed-w_context_dominant,proposed_fixed_prior,w_context_dominant,30,-16113190.933333,-16079640.000000,788188.481720,-17465184.000000,-14776112.000000,3322860768.000000,epss_only
P-proposed-w_cvss_dominant,proposed_fixed_prior,w_cvss_dominant,30,-8823100.800000,-8759024.000000,411668.400515,-9730032.000000,-8027952.000000,3322860768.000000,epss_only
P-proposed-w_epss_dominant,proposed_fixed_prior,w_epss_dominant,30,-2208125.333333,-2204272.000000,95108.789231,-2416960.000000,-2023680.000000,3322860768.000000,epss_only
P-proposed-w_kev_dominant,proposed_fixed_prior,w_kev_dominant,30,-2544534.933333,-2510912.000000,163386.837726,-2955328.000000,-2293568.000000,3322860768.000000,epss_only
P-proposed-w_paper1_placeholder,proposed_fixed_prior,w_paper1_placeholder,30,-8739558.400000,-8727952.000000,640845.949859,-10371408.000000,-7644960.000000,3322860768.000000,epss_only
P-proposed-w_uniform,proposed_fixed_prior,w_uniform,30,-10025913.600000,-9970440.000000,866640.893679,-12005680.000000,-8304464.000000,3322860768.000000,epss_only
P-random-na,random,na,30,-6854.400000,-8208.000000,31526.364518,-70560.000000,43776.000000,3322860768.000000,epss_only
