batch_id,cell_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,n_seeds,ehd_mean,ehd_median,ehd_std,ehd_min,ehd_max,capacity_efficiency_mean,scheduler_feasibility_mean,scheduled_count_total_mean,n_pairs_total_mean
B-primary-ablation,ABL-w_context_dominant-remove_C,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,30,3322758606.933333,3305116872.000000,80458344.287136,3206316800.000000,3503967568.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_context_dominant-remove_E,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,30,3305341221.866667,3287999672.000000,80834819.580412,3188816256.000000,3486306368.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_context_dominant-remove_K,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_K,30,3305561020.800000,3288237264.000000,80822995.336910,3188990016.000000,3486517920.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_context_dominant-remove_R,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_R,30,3306739538.666667,3289451072.000000,80769258.545582,3190212048.000000,3487609792.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_context_dominant-remove_S,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_S,30,3306122486.933333,3288850640.000000,80771083.609637,3189703728.000000,3487221264.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_context_dominant-remove_X,proposed_fixed_prior,w_context_dominant,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_X,30,3308078865.066667,3291270520.000000,80761619.430743,3191349184.000000,3488556688.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_paper1_placeholder-remove_C,proposed_fixed_prior,w_paper1_placeholder,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,30,3322864246.933333,3306049624.000000,80388894.674901,3206349040.000000,3502699872.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_paper1_placeholder-remove_E,proposed_fixed_prior,w_paper1_placeholder,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,30,3311564707.733333,3294493464.000000,80575069.791740,3194478528.000000,3491353504.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_paper1_placeholder-remove_K,proposed_fixed_prior,w_paper1_placeholder,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_K,30,3308849971.200000,3291710832.000000,80690000.325094,3191644512.000000,3488776992.000000,0.010000,1.000000,2019240.000000,201924000.000000
B-primary-ablation,ABL-w_paper1_placeholder-remove_R,proposed_fixed_prior,w_paper1_placeholder,0.010000,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_R,30,3314141206.933333,3297171136.000000,80489613.787170,3197305024.000000,3493784512.000000,0.010000,1.000000,2019240.000000,201924000.000000
