strategy,absolute_EHD_mean,absolute_EHD_std,relative_to_random_mean,relative_to_epss_mean,fraction_of_oracle_mean
cvss_only,1118983.0333333334,3440.4156673820376,0.0020447838673291,0.0026027204787246,1.1768238434163758
oracle,1119327.5333333334,3436.3695631745663,0.0017375445601043,0.0022956529427929,1.0
cve_sum,1120719.7,4942.717848965547,0.0004959529136364,0.0010547554451454,0.285433205584508
random,1121275.8,3398.2523033526263,0.0,0.000559079808769,0.0
cve_max,1121346.3666666667,4914.779536805521,-6.293426351184173e-05,0.0004961807305331,-0.0362202299479811
proposed_no_exposure,1121570.4,4703.823357579498,-0.0002627364293422,0.0002964902700594,-0.151211333150768
proposed_full,1121717.0,4874.063489179395,-0.0003934803551454,0.0001658194405453,-0.2264577059950558
epss_only,1121903.0333333334,4887.180623542195,-0.000559392553851,0.0,-0.3219442923624839
kev_first,1121903.0333333334,4887.180623542195,-0.000559392553851,0.0,-0.3219442923624839
cvss_plus_epss_plus_kev,1122106.3666666667,5235.346574723714,-0.0007407336060108,-0.0001812396680389,-0.4263105666575473
cvss_x_epss,1122376.3666666667,5171.973607710174,-0.0009815307408459,-0.000421902178058,-0.5648952915412091
cve_mean,1122596.3666666667,5244.997547636471,-0.0011777358136746,-0.000617997556592,-0.6778161784834519
proposed_no_criticality,1124319.7,4320.006913707736,-0.0027146755508322,-0.0021540780217754,-1.5623631261976478
