strategy,kev_breach_rate_mean,capacity_efficiency_mean,scheduled_count_mean,scheduler_feasibility_mean,risk_acceptance_rate_mean
cve_max,0.9918157073868012,0.7,100.0,1.0,0.002628257424374
cve_mean,0.9938563094245912,0.5333333333333333,100.0,1.0,0.0023918508049887
cve_sum,0.9943688259071168,0.8,100.0,1.0,0.003603282470889
cvss_only,0.9846623476112472,1.0,100.0,1.0,0.0028560547161744
cvss_plus_epss_plus_kev,0.9933434889117706,0.6,100.0,1.0,0.0023918508049887
cvss_x_epss,0.9943663833853154,0.5666666666666667,100.0,1.0,0.0023918508049887
epss_only,0.9943663833853154,0.6333333333333333,100.0,1.0,0.0026351598074217
kev_first,0.9943663833853154,0.6333333333333333,100.0,1.0,0.0026351598074217
oracle,0.9952305150720316,1.0,100.0,1.0,0.0039868702490814
proposed_full,0.9923675040448212,0.6503333333333333,100.0,1.0,0.0
proposed_no_criticality,0.9959166302961504,0.3,100.0,1.0,0.0
proposed_no_exposure,0.9935295833439668,0.6763333333333333,100.0,1.0,0.0
random,0.9956074532633192,0.7273333333333334,100.0,1.0,0.0003267973856209
