strategy,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std,ndcg_at_k_mean,ndcg_at_k_std
cve_max,0.7,0.466091599699399,0.0004543009478259,0.0003024986671137,0.7,0.466091599699399
cve_mean,0.5333333333333333,0.5074162634049248,0.0003461720219268,0.0003293534340441,0.5333333333333333,0.5074162634049248
cve_sum,0.8,0.4068381021724863,0.0005193319758776,0.000264110907348,0.8,0.4068381021724863
cvss_only,1.0,0.0,0.0006490106493452,1.9342125600078256e-06,1.0,0.0
cvss_plus_epss_plus_kev,0.6,0.4982728791224398,0.0003894522784676,0.0003234261008083,0.6,0.4982728791224398
cvss_x_epss,0.5666666666666667,0.5040069329937309,0.0003677889696138,0.0003271238462836,0.5666666666666667,0.5040069329937309
epss_only,0.6333333333333333,0.4901325178535609,0.0004109810845016,0.000318059556643,0.6333333333333333,0.4901325178535609
kev_first,0.6333333333333333,0.4901325178535609,0.0004109810845016,0.000318059556643,0.6333333333333333,0.4901325178535609
oracle,1.0,0.0,0.0006490106493452,1.9342125600078256e-06,1.0,0.0
proposed_full,0.6866666666666668,0.4606841489105863,0.0004456342665335,0.000298962663921,0.6896882627753613,0.4614327380305166
proposed_no_criticality,0.3,0.466091599699399,0.0001945011326348,0.0003021865441876,0.3,0.466091599699399
proposed_no_exposure,0.7200000000000001,0.4413146504362337,0.0004672408748923,0.0002863562920702,0.72090618077095,0.4396569524717209
random,0.7266666666666667,0.1201531589646956,0.0004716069489336,7.792283170965975e-05,0.7346008553677824,0.1462597675283408
