cell_K,seed,window,n_pairs,n_auto,n_review,n_defer,n_acted,n_success,n_rollback,n_deferred_at_act,rollback_rate,cascade_detected,halt_triggered,mttr_avg_windows,coverage_to_date,strategy
50,105,1,1722,6,18,1698,6,6,0,0,0.0,False,False,0.0,0.2,AutoHeal
50,105,2,1719,13,15,1691,13,12,0,1,0.0,False,False,0.0,0.4865,AutoHeal
50,105,3,1707,3,17,1687,3,2,1,0,0.3333,False,True,0.0,0.7407,AutoHeal
50,105,4,1705,6,27,1672,6,6,0,0,0.0,False,False,0.0,0.8387,AutoHeal
50,105,5,1702,7,119,1576,7,6,1,0,0.1429,False,True,0.0,0.9697,AutoHeal
50,105,6,1696,14,264,1418,14,13,1,0,0.0714,False,False,0.0,1.0,AutoHeal
50,105,7,1685,1,193,1491,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,105,8,1688,20,447,1221,20,18,1,1,0.05,False,False,0.0,1.0,AutoHeal
50,105,9,1670,43,542,1085,43,40,2,1,0.0465,False,False,0.0,1.0,AutoHeal
50,105,10,1631,14,560,1057,14,14,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,105,11,1618,54,643,921,50,49,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,105,12,1572,1,334,1237,1,0,1,0,1.0,False,True,0.0,1.0,AutoHeal
50,106,1,1742,18,19,1705,18,18,0,0,0.0,False,False,0.0,0.3333,AutoHeal
50,106,2,1728,14,10,1704,14,13,0,1,0.0,False,False,0.0,0.6327,AutoHeal
50,106,3,1715,4,14,1697,4,4,0,0,0.0,False,False,0.0,0.875,AutoHeal
50,106,4,1712,5,51,1656,5,4,1,0,0.2,False,True,0.0,0.9512,AutoHeal
50,106,5,1708,1,51,1656,1,1,0,0,0.0,False,False,0.0,0.9756,AutoHeal
50,106,6,1710,8,310,1392,8,8,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,106,7,1704,60,580,1064,50,46,2,2,0.04,False,False,0.0,1.0,AutoHeal
50,106,8,1660,113,697,850,50,44,3,3,0.06,False,False,0.0,1.0,AutoHeal
50,106,9,1618,1,414,1203,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,106,10,1619,69,672,878,50,43,4,3,0.08,False,False,0.0,1.0,AutoHeal
50,106,11,1580,15,638,927,15,14,1,0,0.0667,False,False,0.0,1.0,AutoHeal
50,106,12,1570,41,698,831,41,36,5,0,0.122,False,True,0.0,1.0,AutoHeal
50,107,1,1758,5,18,1735,5,5,0,0,0.0,False,False,0.0,0.1724,AutoHeal
50,107,2,1754,10,14,1730,10,9,1,0,0.1,False,False,0.0,0.4242,AutoHeal
50,107,3,1747,9,18,1720,9,8,1,0,0.1111,False,True,0.0,0.6667,AutoHeal
50,107,4,1739,6,84,1649,6,3,2,1,0.3333,False,True,0.0,0.8929,AutoHeal
50,107,5,1736,3,84,1649,3,3,0,0,0.0,False,False,0.0,0.9655,AutoHeal
50,107,6,1735,10,285,1440,10,10,0,0,0.0,False,False,0.0,0.9744,AutoHeal
50,107,7,1725,41,537,1147,41,39,1,1,0.0244,False,False,0.0,1.0,AutoHeal
50,107,8,1688,84,705,899,50,47,1,2,0.02,False,False,0.0,1.0,AutoHeal
50,107,9,1644,63,731,850,50,47,3,0,0.06,False,False,0.0,1.0,AutoHeal
50,107,10,1598,90,766,742,50,48,2,0,0.04,False,False,0.0,1.0,AutoHeal
50,107,11,1550,108,787,655,50,49,1,0,0.02,False,False,0.0,1.0,AutoHeal
50,107,12,1503,119,806,578,50,46,0,4,0.0,False,False,0.0,1.0,AutoHeal
50,108,1,1725,11,15,1699,11,11,0,0,0.0,False,False,0.0,0.3056,AutoHeal
50,108,2,1716,7,19,1690,7,7,0,0,0.0,False,False,0.0,0.5455,AutoHeal
50,108,3,1714,12,29,1673,12,11,0,1,0.0,False,False,0.0,0.7632,AutoHeal
50,108,4,1708,3,60,1645,3,3,0,0,0.0,False,False,0.0,0.9143,AutoHeal
50,108,5,1706,13,250,1443,13,13,0,0,0.0,False,False,0.0,0.9783,AutoHeal
50,108,6,1697,1,1,1695,1,1,0,0,0.0,False,False,0.0,0.9787,AutoHeal
50,108,7,1698,30,500,1168,30,27,2,1,0.0667,False,False,0.0,1.0,AutoHeal
50,108,8,1674,78,661,935,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,108,9,1634,37,633,964,37,35,1,1,0.027,False,False,0.0,1.0,AutoHeal
50,108,10,1600,119,752,729,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,108,11,1554,71,765,718,50,42,7,1,0.14,False,True,0.0,1.0,AutoHeal
50,108,12,1512,106,775,631,50,46,4,0,0.08,False,False,0.0,1.0,AutoHeal
50,109,1,1724,3,18,1703,3,2,1,0,0.3333,False,True,0.0,0.0769,AutoHeal
50,109,2,1722,1,18,1703,1,1,0,0,0.0,False,False,0.0,0.12,AutoHeal
50,109,3,1723,14,13,1696,14,14,0,0,0.0,False,False,0.0,0.4595,AutoHeal
50,109,4,1716,4,18,1694,4,2,1,1,0.25,False,True,0.0,0.7308,AutoHeal
50,109,5,1714,2,18,1694,2,2,0,0,0.0,False,False,0.0,0.8077,AutoHeal
50,109,6,1715,6,42,1667,6,6,0,0,0.0,False,False,0.0,0.871,AutoHeal
50,109,7,1713,10,146,1557,10,9,1,0,0.1,False,False,0.0,1.0,AutoHeal
50,109,8,1711,3,234,1474,3,2,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,109,9,1710,4,260,1446,4,4,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,109,10,1710,31,480,1199,31,29,1,1,0.0323,False,False,0.0,1.0,AutoHeal
50,109,11,1689,5,433,1251,5,4,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,109,12,1688,75,597,1016,50,46,2,2,0.04,False,False,0.0,1.0,AutoHeal
50,110,1,1741,8,14,1719,8,7,0,1,0.0,False,False,0.0,0.25,AutoHeal
50,110,2,1736,8,14,1714,8,8,0,0,0.0,False,False,0.0,0.5172,AutoHeal
50,110,3,1733,4,30,1699,4,4,0,0,0.0,False,False,0.0,0.7917,AutoHeal
50,110,4,1731,12,117,1602,12,10,2,0,0.1667,False,True,0.0,0.9062,AutoHeal
50,110,5,1721,1,115,1605,1,1,0,0,0.0,False,False,0.0,0.9677,AutoHeal
50,110,6,1724,20,407,1297,20,19,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,110,7,1708,21,466,1221,21,16,4,1,0.1905,False,True,0.0,1.0,AutoHeal
50,110,8,1692,84,593,1015,50,45,1,4,0.02,False,False,0.0,1.0,AutoHeal
50,110,9,1651,1,319,1331,1,1,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,110,10,1655,36,607,1012,36,33,3,0,0.0833,False,False,0.0,1.0,AutoHeal
50,110,11,1625,30,642,953,30,28,2,0,0.0667,False,False,0.0,1.0,AutoHeal
50,110,12,1600,74,776,750,50,46,2,2,0.04,False,False,0.0,1.0,AutoHeal
50,111,1,1694,6,23,1665,6,6,0,0,0.0,False,False,0.0,0.2069,AutoHeal
50,111,2,1691,14,17,1660,14,14,0,0,0.0,False,False,0.0,0.5556,AutoHeal
50,111,3,1684,7,51,1626,7,7,0,0,0.0,False,False,0.0,0.931,AutoHeal
50,111,4,1680,10,149,1521,10,9,1,0,0.1,False,False,0.0,0.973,AutoHeal
50,111,5,1676,5,234,1437,5,5,0,0,0.0,False,False,0.0,0.9762,AutoHeal
50,111,6,1676,38,477,1161,38,37,1,0,0.0263,False,False,0.0,1.0,AutoHeal
50,111,7,1642,70,648,924,50,45,3,2,0.06,False,False,0.0,1.0,AutoHeal
50,111,8,1601,17,568,1016,17,14,2,1,0.1176,False,True,0.0,1.0,AutoHeal
50,111,9,1587,101,732,754,50,49,0,1,0.0,False,False,0.0,1.0,AutoHeal
50,111,10,1540,101,737,702,50,47,2,1,0.04,False,False,0.0,1.0,AutoHeal
50,111,11,1496,33,712,751,33,31,2,0,0.0606,False,False,0.0,1.0,AutoHeal
50,111,12,1467,19,652,796,19,18,1,0,0.0526,False,False,0.0,1.0,AutoHeal
50,112,1,1768,8,11,1749,8,8,0,0,0.0,False,False,0.0,0.32,AutoHeal
50,112,2,1761,5,12,1744,5,3,1,1,0.2,False,True,0.0,0.55,AutoHeal
50,112,3,1758,2,12,1744,2,1,0,1,0.0,False,False,0.0,0.6667,AutoHeal
50,112,4,1759,2,17,1740,2,1,1,0,0.5,False,True,0.0,0.6842,AutoHeal
50,112,5,1758,6,30,1722,6,5,0,1,0.0,False,False,0.0,0.7826,AutoHeal
50,112,6,1755,2,20,1733,2,2,0,0,0.0,False,False,0.0,0.8696,AutoHeal
50,112,7,1758,9,132,1617,9,7,2,0,0.2222,False,True,0.0,0.9643,AutoHeal
50,112,8,1751,10,278,1463,10,9,1,0,0.1,False,False,0.0,1.0,AutoHeal
50,112,9,1746,5,270,1471,5,5,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,112,10,1744,59,573,1112,50,45,3,2,0.06,False,False,0.0,1.0,AutoHeal
50,112,11,1705,1,4,1700,1,1,0,0,0.0,False,False,0.0,0.9886,AutoHeal
50,112,12,1708,2,221,1485,2,1,1,0,0.5,False,True,0.0,1.0,AutoHeal
50,113,1,1730,5,19,1706,5,4,0,1,0.0,False,False,0.0,0.1481,AutoHeal
50,113,2,1734,1,19,1714,1,1,0,0,0.0,False,False,0.0,0.2174,AutoHeal
50,113,3,1734,11,12,1711,11,9,1,1,0.0909,False,False,0.0,0.4375,AutoHeal
50,113,4,1729,2,13,1714,2,2,0,0,0.0,False,False,0.0,0.64,AutoHeal
50,113,5,1728,8,16,1704,8,7,1,0,0.125,False,True,0.0,0.7419,AutoHeal
50,113,6,1721,3,35,1683,3,2,1,0,0.3333,False,True,0.0,0.9615,AutoHeal
50,113,7,1719,8,101,1610,8,7,1,0,0.125,False,True,0.0,1.0,AutoHeal
50,113,8,1712,8,265,1439,8,7,1,0,0.125,False,True,0.0,1.0,AutoHeal
50,113,9,1705,3,299,1403,3,3,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,113,10,1704,43,460,1201,43,40,2,1,0.0465,False,False,0.0,1.0,AutoHeal
50,113,11,1667,1,33,1633,1,1,0,0,0.0,False,False,0.0,0.9881,AutoHeal
50,113,12,1666,56,562,1048,50,47,1,2,0.02,False,False,0.0,1.0,AutoHeal
50,114,1,1808,11,18,1779,11,11,0,0,0.0,False,False,0.0,0.2821,AutoHeal
50,114,2,1799,9,15,1775,9,9,0,0,0.0,False,False,0.0,0.5405,AutoHeal
50,114,3,1791,6,26,1759,6,6,0,0,0.0,False,False,0.0,0.7647,AutoHeal
50,114,4,1789,5,82,1702,5,4,0,1,0.0,False,False,0.0,0.8824,AutoHeal
50,114,5,1787,2,89,1696,2,2,0,0,0.0,False,False,0.0,0.9697,AutoHeal
50,114,6,1788,10,184,1594,10,10,0,0,0.0,False,False,0.0,1.0,AutoHeal
50,114,7,1780,2,202,1576,2,1,1,0,0.5,False,True,0.0,1.0,AutoHeal
