cve,epss,in_kev
CVE-2020-0001,0.00104,False
CVE-2020-0002,0.00288,False
CVE-2020-0003,0.0001,False
CVE-2020-0004,0.00037,False
CVE-2020-0005,0.00037,False
CVE-2020-0006,0.00244,False
CVE-2020-0007,0.00017,False
CVE-2020-0008,0.00035,False
CVE-2020-0009,0.00115,False
CVE-2020-0010,0.00033,False
CVE-2020-0011,0.00035,False
CVE-2020-0012,0.00039,False
CVE-2020-0014,0.01172,False
CVE-2020-0015,0.00028,False
CVE-2020-0016,0.00012,False
CVE-2020-0017,0.00034,False
CVE-2020-0018,0.00037,False
CVE-2020-0019,0.00017,False
CVE-2020-0020,0.00034,False
CVE-2020-0021,0.01807,False
CVE-2020-0022,0.07576,False
CVE-2020-0023,0.00114,False
CVE-2020-0024,0.00013,False
CVE-2020-0025,0.00013,False
CVE-2020-0026,0.00037,False
CVE-2020-0027,0.00034,False
CVE-2020-0028,0.01165,False
CVE-2020-0029,0.00032,False
CVE-2020-0030,0.00034,False
CVE-2020-0031,0.00037,False
CVE-2020-0032,0.01765,False
CVE-2020-0033,0.00037,False
CVE-2020-0034,0.08121,False
CVE-2020-0035,0.00034,False
CVE-2020-0036,8e-05,False
CVE-2020-0037,0.01282,False
CVE-2020-0038,0.01282,False
CVE-2020-0039,0.01282,False
CVE-2020-0041,0.23865,True
CVE-2020-0042,0.00043,False
CVE-2020-0043,0.00043,False
CVE-2020-0044,0.00043,False
CVE-2020-0045,0.00026,False
CVE-2020-0046,0.00035,False
CVE-2020-0047,0.00031,False
CVE-2020-0048,0.00034,False
CVE-2020-0049,0.00872,False
CVE-2020-0050,0.00037,False
CVE-2020-0051,0.00035,False
CVE-2020-0052,0.0001,False
CVE-2020-0053,0.00033,False
CVE-2020-0054,0.00032,False
CVE-2020-0055,0.0006,False
CVE-2020-0056,0.00044,False
CVE-2020-0057,0.00044,False
CVE-2020-0058,0.00049,False
CVE-2020-0059,0.00044,False
CVE-2020-0060,0.00012,False
CVE-2020-0061,0.00013,False
CVE-2020-0062,0.00548,False
CVE-2020-0063,0.00034,False
CVE-2020-0064,0.00019,False
CVE-2020-0065,0.00019,False
CVE-2020-0066,0.00027,False
CVE-2020-0067,0.00056,False
CVE-2020-0068,0.00035,False
CVE-2020-0069,0.00767,True
CVE-2020-0070,0.02282,False
CVE-2020-0071,0.02282,False
CVE-2020-0072,0.02282,False
CVE-2020-0073,0.02282,False
CVE-2020-0074,5e-05,False
CVE-2020-0075,0.00044,False
CVE-2020-0076,0.00036,False
CVE-2020-0077,0.00044,False
CVE-2020-0078,0.00034,False
CVE-2020-0079,0.00034,False
CVE-2020-0080,0.00085,False
CVE-2020-0081,0.00046,False
CVE-2020-0082,0.00212,False
CVE-2020-0083,0.02439,False
CVE-2020-0084,0.00034,False
CVE-2020-0085,0.00012,False
CVE-2020-0086,0.00187,False
CVE-2020-0087,0.00037,False
CVE-2020-0088,0.00294,False
CVE-2020-0089,0.00014,False
CVE-2020-0090,0.00019,False
CVE-2020-0091,0.00019,False
CVE-2020-0092,0.00013,False
CVE-2020-0093,0.00165,False
CVE-2020-0094,0.00015,False
CVE-2020-0096,0.0237,False
CVE-2020-0097,0.00021,False
CVE-2020-0098,0.00015,False
CVE-2020-0099,0.00037,False
CVE-2020-0100,0.00017,False
CVE-2020-0101,0.00017,False
CVE-2020-0102,0.00015,False
CVE-2020-0103,0.01182,False
CVE-2020-0104,0.00017,False
CVE-2020-0105,0.00014,False
CVE-2020-0106,0.00015,False
CVE-2020-0107,0.00013,False
CVE-2020-0108,0.01836,False
CVE-2020-0109,0.00014,False
CVE-2020-0110,0.0002,False
CVE-2020-0113,0.00107,False
CVE-2020-0114,0.00019,False
CVE-2020-0115,0.00012,False
CVE-2020-0116,0.00014,False
CVE-2020-0117,0.00873,False
CVE-2020-0118,0.00013,False
CVE-2020-0119,0.00144,False
CVE-2020-0120,0.00016,False
CVE-2020-0121,0.00032,False
CVE-2020-0122,0.00011,False
CVE-2020-0123,0.00144,False
CVE-2020-0124,0.00016,False
CVE-2020-0125,0.00017,False
CVE-2020-0126,0.00013,False
CVE-2020-0127,0.00244,False
CVE-2020-0128,0.00312,False
CVE-2020-0129,0.00015,False
CVE-2020-0130,0.00125,False
CVE-2020-0131,0.00481,False
CVE-2020-0132,0.00034,False
CVE-2020-0133,6e-05,False
CVE-2020-0134,0.00017,False
CVE-2020-0135,0.00015,False
CVE-2020-0136,0.00015,False
CVE-2020-0137,0.00012,False
CVE-2020-0138,0.0552,False
CVE-2020-0139,0.00016,False
CVE-2020-0140,0.00312,False
CVE-2020-0141,0.00175,False
CVE-2020-0142,0.00312,False
CVE-2020-0143,0.00018,False
CVE-2020-0144,0.00018,False
CVE-2020-0145,0.00018,False
CVE-2020-0146,0.00018,False
CVE-2020-0147,0.00016,False
CVE-2020-0148,0.00016,False
CVE-2020-0149,0.00018,False
CVE-2020-0150,0.00015,False
CVE-2020-0151,0.00018,False
CVE-2020-0152,0.00018,False
CVE-2020-0153,0.00016,False
CVE-2020-0154,0.00018,False
CVE-2020-0155,0.00015,False
