method,k,metric,mean,ci_lo,ci_hi
EPSS-only,50,mwp,0.2488,0.2312,0.2632
EPSS-only,50,pblind,0.2272,0.2112,0.2424
EPSS-only,50,cwer,0.7559,0.7429,0.7697
EPSS-only,50,ndcg,0.3504,0.326,0.3718
EPSS-only,100,mwp,0.2468,0.23,0.2596
EPSS-only,100,pblind,0.2196,0.2084,0.2328
EPSS-only,100,cwer,0.9034,0.892,0.9152
EPSS-only,100,ndcg,0.558,0.5347,0.5827
EPSS-only,250,mwp,0.1253,0.1158,0.1339
EPSS-only,250,pblind,0.111,0.1043,0.1168
EPSS-only,250,cwer,1.0,1.0,1.0
EPSS-only,250,ndcg,0.6575,0.6329,0.6789
CVSS-only,50,mwp,0.0096,0.0056,0.0152
CVSS-only,50,pblind,0.004,0.0008,0.0072
CVSS-only,50,cwer,0.0219,0.0156,0.0288
CVSS-only,50,ndcg,0.011,0.0058,0.0179
CVSS-only,100,mwp,0.01,0.006,0.0136
CVSS-only,100,pblind,0.0052,0.0028,0.0072
CVSS-only,100,cwer,0.0287,0.0231,0.0349
CVSS-only,100,ndcg,0.0198,0.0126,0.0279
CVSS-only,250,mwp,0.0091,0.0069,0.0114
CVSS-only,250,pblind,0.0075,0.0056,0.0096
CVSS-only,250,cwer,0.0676,0.0601,0.0761
CVSS-only,250,ndcg,0.0391,0.0296,0.0493
Random,50,mwp,0.0128,0.0072,0.0208
Random,50,pblind,0.0096,0.0048,0.016
Random,50,cwer,0.0321,0.0254,0.0389
Random,50,ndcg,0.0202,0.0106,0.034
Random,100,mwp,0.0112,0.0072,0.0156
Random,100,pblind,0.0072,0.004,0.0108
Random,100,cwer,0.037,0.0312,0.0427
Random,100,ndcg,0.0279,0.0178,0.0425
Random,250,mwp,0.0117,0.0093,0.0141
Random,250,pblind,0.007,0.0053,0.009
Random,250,cwer,0.0809,0.074,0.0891
Random,250,ndcg,0.0531,0.0421,0.0661
HRS-only,50,mwp,0.0096,0.0048,0.016
HRS-only,50,pblind,0.044,0.0344,0.0528
HRS-only,50,cwer,0.0345,0.0271,0.0439
HRS-only,50,ndcg,0.0133,0.0066,0.0224
HRS-only,100,mwp,0.0076,0.0044,0.0112
HRS-only,100,pblind,0.0332,0.028,0.0384
HRS-only,100,cwer,0.0313,0.0262,0.0372
HRS-only,100,ndcg,0.0184,0.0113,0.0289
HRS-only,250,mwp,0.009,0.0064,0.0117
HRS-only,250,pblind,0.0362,0.0323,0.0406
HRS-only,250,cwer,0.0731,0.0655,0.0831
HRS-only,250,ndcg,0.0392,0.0285,0.0537
Context-only,50,mwp,0.0528,0.0392,0.0656
