seed,method,fleet_type,n_pairs,n_mctp,n_blind,mwp_at_50,pblind_at_50,ndcg_at_50,cwer_at_50,mwp_at_100,pblind_at_100,ndcg_at_100,cwer_at_100,mwp_at_250,pblind_at_250,ndcg_at_250,cwer_at_250
200,HygienePrio,homogeneous,3516,0,35,0.0,0.34,0.0,1.0,0.0,0.31,0.0,0.8,0.0,0.14,0.0,0.6842
200,CAP-G-full,homogeneous,3516,0,35,0.0,0.34,0.0,1.0,0.0,0.31,0.0,0.8,0.0,0.14,0.0,0.6842
201,HygienePrio,homogeneous,3555,0,27,0.0,0.36,0.0,0.98,0.0,0.26,0.0,0.74,0.0,0.108,0.0,0.75
201,CAP-G-full,homogeneous,3555,0,27,0.0,0.36,0.0,0.98,0.0,0.26,0.0,0.74,0.0,0.108,0.0,0.75
202,HygienePrio,homogeneous,3561,0,33,0.0,0.36,0.0,1.0,0.0,0.3,0.0,0.77,0.0,0.132,0.0,0.7222
202,CAP-G-full,homogeneous,3561,0,33,0.0,0.36,0.0,1.0,0.0,0.3,0.0,0.77,0.0,0.132,0.0,0.7222
203,HygienePrio,homogeneous,3440,0,29,0.0,0.34,0.0,1.0,0.0,0.26,0.0,0.88,0.0,0.116,0.0,0.7887
203,CAP-G-full,homogeneous,3440,0,29,0.0,0.34,0.0,1.0,0.0,0.26,0.0,0.88,0.0,0.116,0.0,0.7887
204,HygienePrio,homogeneous,3527,0,24,0.0,0.26,0.0,1.0,0.0,0.21,0.0,0.83,0.0,0.096,0.0,0.7664
204,CAP-G-full,homogeneous,3527,0,24,0.0,0.26,0.0,1.0,0.0,0.21,0.0,0.83,0.0,0.096,0.0,0.7664
205,HygienePrio,homogeneous,3429,0,30,0.0,0.3,0.0,1.0,0.0,0.25,0.0,0.84,0.0,0.12,0.0,0.8
205,CAP-G-full,homogeneous,3429,0,30,0.0,0.3,0.0,1.0,0.0,0.25,0.0,0.84,0.0,0.12,0.0,0.8
206,HygienePrio,homogeneous,3493,0,27,0.0,0.2,0.0,1.0,0.0,0.23,0.0,0.82,0.0,0.108,0.0,0.7405
206,CAP-G-full,homogeneous,3493,0,27,0.0,0.2,0.0,1.0,0.0,0.23,0.0,0.82,0.0,0.108,0.0,0.7405
207,HygienePrio,homogeneous,3520,0,26,0.0,0.28,0.0,1.0,0.0,0.25,0.0,0.85,0.0,0.104,0.0,0.784
207,CAP-G-full,homogeneous,3520,0,26,0.0,0.28,0.0,1.0,0.0,0.25,0.0,0.85,0.0,0.104,0.0,0.784
208,HygienePrio,homogeneous,3499,0,24,0.0,0.24,0.0,1.0,0.0,0.23,0.0,0.75,0.0,0.096,0.0,0.7273
208,CAP-G-full,homogeneous,3499,0,24,0.0,0.24,0.0,1.0,0.0,0.23,0.0,0.75,0.0,0.096,0.0,0.7273
209,HygienePrio,homogeneous,3427,0,30,0.0,0.32,0.0,1.0,0.0,0.25,0.0,0.77,0.0,0.12,0.0,0.8017
