seed,method,fleet_type,n_pairs,n_mctp,n_blind,mwp_at_50,pblind_at_50,ndcg_at_50,cwer_at_50,mwp_at_100,pblind_at_100,ndcg_at_100,cwer_at_100,mwp_at_250,pblind_at_250,ndcg_at_250,cwer_at_250
200,EPSS-only,heterogeneous,3516,33,35,0.26,0.24,0.3587,0.7592,0.24,0.26,0.539,0.8751,0.132,0.14,0.67,1.0
200,CVSS-only,heterogeneous,3516,33,35,0.0,0.0,0.0,0.0142,0.01,0.01,0.0167,0.0223,0.008,0.012,0.03,0.0645
200,Random,heterogeneous,3516,33,35,0.02,0.0,0.0342,0.0617,0.02,0.0,0.0496,0.0488,0.016,0.008,0.0766,0.0938
200,HRS-only,heterogeneous,3516,33,35,0.04,0.1,0.0408,0.0908,0.02,0.07,0.0408,0.0627,0.016,0.048,0.0684,0.0836
200,Context-only,heterogeneous,3516,33,35,0.1,0.06,0.2125,0.1445,0.05,0.03,0.2125,0.0852,0.028,0.02,0.2403,0.0864
200,HygienePrio,heterogeneous,3516,33,35,0.26,0.34,0.3517,0.757,0.2,0.31,0.4709,0.7028,0.096,0.14,0.5248,0.6943
200,CAP-G-full,heterogeneous,3516,33,35,0.38,0.34,0.6211,0.8055,0.22,0.26,0.672,0.6405,0.1,0.12,0.7157,0.6012
200,CAP-G-noCrit,heterogeneous,3516,33,35,0.3,0.28,0.5294,0.7543,0.21,0.2,0.63,0.6088,0.104,0.112,0.7012,0.6181
200,CAP-G-noZone,heterogeneous,3516,33,35,0.36,0.32,0.5634,0.7974,0.21,0.25,0.6144,0.6103,0.092,0.112,0.6435,0.5845
200,CAP-G-noSens,heterogeneous,3516,33,35,0.36,0.32,0.6062,0.7601,0.22,0.26,0.6754,0.6362,0.1,0.124,0.7186,0.6244
200,CAP-G-hwm,heterogeneous,3516,33,35,0.32,0.3,0.4845,0.7558,0.23,0.25,0.6004,0.6612,0.104,0.124,0.6392,0.6454
201,EPSS-only,heterogeneous,3555,37,27,0.28,0.28,0.3433,0.7518,0.29,0.24,0.5707,0.9176,0.148,0.108,0.683,1.0
201,CVSS-only,heterogeneous,3555,37,27,0.02,0.0,0.0286,0.0311,0.01,0.0,0.0286,0.0258,0.008,0.004,0.0406,0.0585
201,Random,heterogeneous,3555,37,27,0.0,0.0,0.0,0.0364,0.01,0.01,0.0144,0.0409,0.008,0.004,0.0278,0.0633
201,HRS-only,heterogeneous,3555,37,27,0.0,0.0,0.0,0.0,0.01,0.03,0.0143,0.0306,0.008,0.036,0.0264,0.0724
201,Context-only,heterogeneous,3555,37,27,0.04,0.0,0.1288,0.0583,0.04,0.01,0.1615,0.0644,0.068,0.012,0.3281,0.2221
201,HygienePrio,heterogeneous,3555,37,27,0.28,0.36,0.3077,0.7426,0.23,0.26,0.4478,0.6762,0.104,0.108,0.4864,0.7439
201,CAP-G-full,heterogeneous,3555,37,27,0.38,0.34,0.5714,0.8169,0.27,0.25,0.699,0.6741,0.12,0.1,0.74,0.7618
201,CAP-G-noCrit,heterogeneous,3555,37,27,0.4,0.32,0.5422,0.8045,0.25,0.2,0.6177,0.6353,0.112,0.092,0.6558,0.6906
201,CAP-G-noZone,heterogeneous,3555,37,27,0.36,0.36,0.5449,0.7847,0.24,0.23,0.6337,0.627,0.12,0.1,0.7116,0.7625
201,CAP-G-noSens,heterogeneous,3555,37,27,0.44,0.34,0.6288,0.8333,0.28,0.24,0.7232,0.7017,0.12,0.1,0.7481,0.7083
201,CAP-G-hwm,heterogeneous,3555,37,27,0.4,0.34,0.4903,0.8177,0.25,0.21,0.5705,0.6238,0.12,0.104,0.6361,0.7111
202,EPSS-only,heterogeneous,3561,20,33,0.24,0.26,0.3967,0.822,0.16,0.28,0.4906,0.9099,0.08,0.132,0.5732,1.0
202,CVSS-only,heterogeneous,3561,20,33,0.0,0.0,0.0,0.0128,0.0,0.0,0.0,0.0153,0.008,0.016,0.0375,0.0848
202,Random,heterogeneous,3561,20,33,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0092,0.0,0.008,0.0,0.0679
202,HRS-only,heterogeneous,3561,20,33,0.0,0.06,0.0,0.0395,0.01,0.04,0.0247,0.0357,0.004,0.048,0.0247,0.0965
202,Context-only,heterogeneous,3561,20,33,0.06,0.02,0.2476,0.0928,0.05,0.01,0.2928,0.0858,0.04,0.004,0.3872,0.1393
202,HygienePrio,heterogeneous,3561,20,33,0.22,0.36,0.3597,0.8176,0.14,0.3,0.4306,0.7196,0.06,0.132,0.4496,0.7353
202,CAP-G-full,heterogeneous,3561,20,33,0.26,0.3,0.6667,0.779,0.15,0.23,0.7127,0.6172,0.076,0.108,0.7919,0.6889
202,CAP-G-noCrit,heterogeneous,3561,20,33,0.22,0.36,0.5643,0.7829,0.13,0.21,0.6102,0.5767,0.052,0.108,0.6102,0.5868
202,CAP-G-noZone,heterogeneous,3561,20,33,0.26,0.32,0.6542,0.7639,0.17,0.18,0.7458,0.5789,0.076,0.096,0.7835,0.6408
202,CAP-G-noSens,heterogeneous,3561,20,33,0.26,0.32,0.6449,0.7935,0.15,0.21,0.6909,0.5597,0.076,0.112,0.7716,0.6664
202,CAP-G-hwm,heterogeneous,3561,20,33,0.26,0.36,0.5955,0.8539,0.15,0.22,0.6423,0.6087,0.068,0.108,0.6804,0.6538
203,EPSS-only,heterogeneous,3440,33,29,0.3,0.26,0.4706,0.7477,0.28,0.23,0.6846,0.8819,0.132,0.116,0.7585,1.0
203,CVSS-only,heterogeneous,3440,33,29,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0168,0.0,0.012,0.0,0.0583
203,Random,heterogeneous,3440,33,29,0.0,0.02,0.0,0.0374,0.0,0.01,0.0,0.0221,0.012,0.012,0.0402,0.0883
203,HRS-only,heterogeneous,3440,33,29,0.0,0.06,0.0,0.0435,0.0,0.04,0.0,0.031,0.004,0.036,0.013,0.0575
203,Context-only,heterogeneous,3440,33,29,0.08,0.0,0.0857,0.1176,0.06,0.0,0.1176,0.099,0.052,0.0,0.2132,0.1569
203,HygienePrio,heterogeneous,3440,33,29,0.3,0.34,0.343,0.7458,0.25,0.26,0.5081,0.7611,0.12,0.116,0.5802,0.8008
203,CAP-G-full,heterogeneous,3440,33,29,0.42,0.3,0.6346,0.8493,0.3,0.21,0.7893,0.7572,0.128,0.096,0.818,0.704
203,CAP-G-noCrit,heterogeneous,3440,33,29,0.46,0.28,0.569,0.8611,0.29,0.19,0.6691,0.7024,0.124,0.096,0.6964,0.704
203,CAP-G-noZone,heterogeneous,3440,33,29,0.46,0.28,0.6963,0.8585,0.29,0.2,0.7957,0.7052,0.124,0.1,0.8235,0.6863
203,CAP-G-noSens,heterogeneous,3440,33,29,0.44,0.28,0.6042,0.8666,0.3,0.21,0.741,0.7351,0.124,0.096,0.7542,0.6795
203,CAP-G-hwm,heterogeneous,3440,33,29,0.36,0.32,0.4765,0.7929,0.27,0.2,0.6284,0.6929,0.128,0.1,0.6993,0.7402
204,EPSS-only,heterogeneous,3527,38,24,0.28,0.22,0.3705,0.7267,0.27,0.18,0.5662,0.8613,0.152,0.096,0.7148,1.0
204,CVSS-only,heterogeneous,3527,38,24,0.02,0.0,0.0178,0.0302,0.03,0.0,0.048,0.0538,0.016,0.004,0.0614,0.0615
204,Random,heterogeneous,3527,38,24,0.0,0.0,0.0,0.0,0.01,0.0,0.014,0.033,0.012,0.008,0.0393,0.0606
204,HRS-only,heterogeneous,3527,38,24,0.02,0.02,0.0252,0.018,0.01,0.02,0.0252,0.019,0.016,0.024,0.0618,0.0577
204,Context-only,heterogeneous,3527,38,24,0.04,0.02,0.0347,0.0547,0.06,0.03,0.0921,0.0898,0.044,0.02,0.1534,0.1286
204,HygienePrio,heterogeneous,3527,38,24,0.3,0.26,0.3995,0.7434,0.24,0.21,0.5349,0.7203,0.124,0.096,0.6238,0.7666
204,CAP-G-full,heterogeneous,3527,38,24,0.36,0.32,0.5782,0.8109,0.28,0.21,0.7307,0.6739,0.128,0.092,0.7826,0.7407
204,CAP-G-noCrit,heterogeneous,3527,38,24,0.32,0.28,0.5151,0.7102,0.22,0.2,0.6065,0.6015,0.12,0.088,0.71,0.6918
204,CAP-G-noZone,heterogeneous,3527,38,24,0.42,0.32,0.6028,0.8159,0.27,0.21,0.6972,0.6551,0.136,0.092,0.7856,0.7483
204,CAP-G-noSens,heterogeneous,3527,38,24,0.36,0.28,0.5868,0.7786,0.27,0.2,0.7216,0.64,0.128,0.092,0.7884,0.6983
