tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,105,1,fixed,0.62
0.02,50,3.0,105,1,lag1,0.62
0.02,50,3.0,105,1,adaptive,0.62
0.02,50,3.0,105,1,gated,0.62
0.02,50,3.0,105,1,offline,0.62
0.02,50,3.0,106,1,fixed,0.64
0.02,50,3.0,106,1,lag1,0.64
0.02,50,3.0,106,1,adaptive,0.64
0.02,50,3.0,106,1,gated,0.64
0.02,50,3.0,106,1,offline,0.64
0.02,50,3.0,107,1,fixed,0.66
0.02,50,3.0,107,1,lag1,0.66
0.02,50,3.0,107,1,adaptive,0.66
0.02,50,3.0,107,1,gated,0.66
0.02,50,3.0,107,1,offline,0.66
0.02,50,3.0,108,1,fixed,0.5
0.02,50,3.0,108,1,lag1,0.5
0.02,50,3.0,108,1,adaptive,0.5
0.02,50,3.0,108,1,gated,0.5
0.02,50,3.0,108,1,offline,0.5
0.02,50,3.0,109,1,fixed,0.66
0.02,50,3.0,109,1,lag1,0.66
0.02,50,3.0,109,1,adaptive,0.66
0.02,50,3.0,109,1,gated,0.66
0.02,50,3.0,109,1,offline,0.66
0.02,50,3.0,110,1,fixed,0.56
0.02,50,3.0,110,1,lag1,0.56
0.02,50,3.0,110,1,adaptive,0.56
0.02,50,3.0,110,1,gated,0.56
0.02,50,3.0,110,1,offline,0.56
0.02,50,3.0,111,1,fixed,0.58
0.02,50,3.0,111,1,lag1,0.58
0.02,50,3.0,111,1,adaptive,0.58
0.02,50,3.0,111,1,gated,0.58
0.02,50,3.0,111,1,offline,0.58
0.02,50,3.0,112,1,fixed,0.62
0.02,50,3.0,112,1,lag1,0.62
0.02,50,3.0,112,1,adaptive,0.62
0.02,50,3.0,112,1,gated,0.62
0.02,50,3.0,112,1,offline,0.62
0.02,50,3.0,113,1,fixed,0.66
0.02,50,3.0,113,1,lag1,0.66
0.02,50,3.0,113,1,adaptive,0.66
0.02,50,3.0,113,1,gated,0.66
0.02,50,3.0,113,1,offline,0.66
0.02,50,3.0,114,1,fixed,0.46
0.02,50,3.0,114,1,lag1,0.46
0.02,50,3.0,114,1,adaptive,0.46
0.02,50,3.0,114,1,gated,0.46
0.02,50,3.0,114,1,offline,0.46
0.02,50,3.0,115,1,fixed,0.6
0.02,50,3.0,115,1,lag1,0.6
0.02,50,3.0,115,1,adaptive,0.6
0.02,50,3.0,115,1,gated,0.6
0.02,50,3.0,115,1,offline,0.6
0.02,50,3.0,116,1,fixed,0.6
0.02,50,3.0,116,1,lag1,0.6
0.02,50,3.0,116,1,adaptive,0.6
0.02,50,3.0,116,1,gated,0.6
0.02,50,3.0,116,1,offline,0.6
0.02,50,3.0,117,1,fixed,0.64
0.02,50,3.0,117,1,lag1,0.64
0.02,50,3.0,117,1,adaptive,0.64
0.02,50,3.0,117,1,gated,0.64
0.02,50,3.0,117,1,offline,0.64
0.02,50,3.0,118,1,fixed,0.52
0.02,50,3.0,118,1,lag1,0.52
0.02,50,3.0,118,1,adaptive,0.52
0.02,50,3.0,118,1,gated,0.52
0.02,50,3.0,118,1,offline,0.52
0.02,50,3.0,119,1,fixed,0.7
0.02,50,3.0,119,1,lag1,0.7
0.02,50,3.0,119,1,adaptive,0.7
0.02,50,3.0,119,1,gated,0.7
0.02,50,3.0,119,1,offline,0.7
0.02,50,3.0,120,1,fixed,0.66
0.02,50,3.0,120,1,lag1,0.66
0.02,50,3.0,120,1,adaptive,0.66
0.02,50,3.0,120,1,gated,0.66
0.02,50,3.0,120,1,offline,0.66
0.02,50,3.0,121,1,fixed,0.52
0.02,50,3.0,121,1,lag1,0.52
0.02,50,3.0,121,1,adaptive,0.52
0.02,50,3.0,121,1,gated,0.52
0.02,50,3.0,121,1,offline,0.52
0.02,50,3.0,122,1,fixed,0.46
0.02,50,3.0,122,1,lag1,0.46
0.02,50,3.0,122,1,adaptive,0.46
0.02,50,3.0,122,1,gated,0.46
0.02,50,3.0,122,1,offline,0.46
0.02,50,3.0,123,1,fixed,0.64
0.02,50,3.0,123,1,lag1,0.64
0.02,50,3.0,123,1,adaptive,0.64
0.02,50,3.0,123,1,gated,0.64
