seed,automatable_fraction,mttd_auto_annual,mttd_auto_continuous,mttd_auto_ratio,mttd_all_annual,mttd_all_continuous,exposure_annual,exposure_quarter,reduction_vs_annual,reduction_vs_quarter,automatable_exposure_share,ceiling_gap,days_saved_vs_annual,days_saved_vs_quarter,reduction_top_quartile,top_quartile_capture
800,0.44,278.18811302648305,1.0,278.18811302648305,248.575399784638,34.327225662248814,57248.88955175889,26396.0246500951,0.5372704718481722,0.5485751059810262,0.6127304507896729,-0.0754599789415007,30758.137902257396,14480.2020199037,0.4408579758891267,0.8205512846678631
801,0.455,277.92292177429454,1.0,277.92292177429454,248.28556196460482,35.87641616434474,56162.82363221308,27158.055848896456,0.5304902026694461,0.5381887614864037,0.6037058947245276,-0.0732156920550815,29793.82769114108,14616.160441696167,0.4148270121891016,0.7819692241283193
802,0.445,255.1365743185225,1.0,255.1365743185225,234.45903977394616,36.05059426558665,53845.36586958999,26324.99806357864,0.5370763355913569,0.5101376097792436,0.6085402385262837,-0.07146390293492677,28919.07178981531,13429.371589597225,0.4265225317193756,0.7941562557392252
803,0.475,279.8471808002007,1.0,279.8471808002007,259.1271823165244,28.16852665000636,61741.50629743372,30467.814161303973,0.5921598517519293,0.5484739852812879,0.6736609407561207,-0.0815010890041914,36560.84121602916,16710.80345586005,0.4781797727405103,0.8075180566966771
804,0.51,265.6701575187433,1.0,265.6701575187433,247.46050427476132,26.08310206026451,52673.3243848756,25716.366937671522,0.6105899235163219,0.5982923911908694,0.6936680290109603,-0.08307810549463834,32161.80110751161,15385.90666788131,0.47398699658052357,0.7762771351529735
805,0.54,272.4110148474982,1.0,272.4110148474982,254.9053062516345,29.961047756186222,61285.84166288245,29319.098077071278,0.5766288783701696,0.5749155400168413,0.6565168242179504,-0.0798879458477808,35339.18613803972,16856.005103786167,0.4604032578924414,0.7984394732254172
806,0.48,269.2718201089119,1.0,269.2718201089119,243.95252809670046,34.650996139381085,57468.12893414441,27358.53506181872,0.5644151089649407,0.5475771734377568,0.6345757366864466,-0.07016062772150589,32435.88025437638,14980.909298548459,0.42349814748771336,0.7503309900125643
807,0.49,276.50964581682354,1.0,276.50964581682354,252.6338510389178,34.070528660682754,58417.61648375651,26651.546716298566,0.5577812981337125,0.5296794081677441,0.6309099236603606,-0.07312862552664812,32584.25395618706,14116.775491444007,0.4314226925150017,0.7734620969876623
808,0.44,285.9743386089856,1.0,285.9743386089856,259.568475614824,40.03861908736749,62377.02329386884,30521.286160839325,0.5083256938941149,0.49608606733046606,0.5777102167754015,-0.0693845228812866,31707.843648905247,15141.18482139856,0.40120953669230386,0.7892765239127899
809,0.49,265.82667404671685,1.0,265.82667404671685,238.4912613799614,32.245463743492095,56708.48137877106,28551.07250022877,0.55916011508707,0.5374683169360915,0.6350570514069206,-0.07589693631985062,31709.12097416659,15345.296883418283,0.4540025492058785,0.8119365758682255
810,0.49,273.56634108193305,1.0,273.56634108193305,245.55642174815188,29.289885557459954,57077.751315082336,27758.518855261536,0.5848243015355172,0.5692678010340186,0.6635940480025958,-0.07876974646707857,33380.45604606098,15802.030988696079,0.47180871780803324,0.8067529283055616
811,0.51,286.2333917293481,1.0,286.2333917293481,258.3065577532176,26.4630432474475,60755.20172548683,29077.27031773387,0.613899836553086,0.5825020358145244,0.6950122328589435,-0.08111239630585754,37297.608409026136,16937.569156009224,0.4673509473751224,0.7612820847114022
812,0.53,269.59868162249074,1.0,269.59868162249074,250.25288523089495,30.632928002847333,57367.39340648957,27362.986841589678,0.5781929198984053,0.560895440882478,0.6557282537505585,-0.07753533385215328,33169.42070065873,15347.774568374887,0.4392570676027327,0.759706756146227
813,0.485,271.1247903403659,1.0,271.1247903403659,246.4485606603112,34.18836203767068,58800.066073192225,27115.19226544424,0.5678028772006933,0.5341465969035927,0.6385510970210887,-0.07074821982039536,33386.84669594942,14483.487672973659,0.42475708963829745,0.7480713936012066
814,0.505,273.47883499068257,1.0,273.47883499068257,249.79684821344688,26.41155586795581,60860.853026586934,29698.679164878344,0.609124312345863,0.5919688753850127,0.6912789281843194,-0.0821546158384564,37071.8252486024,17580.693705653342,0.45816550232255276,0.7521707688173916
815,0.425,262.68719576155735,1.0,262.68719576155735,239.24505033799096,40.95511784874707,54666.40117503401,24599.816106839895,0.5052411374201545,0.5181624522609416,0.5722658531732255,-0.067024715753071,27619.714708340656,12746.70103908837,0.412984133840502,0.8174000556432673
816,0.55,262.59567020815666,1.0,262.59567020815666,237.83849988407857,21.777278392229174,56312.85497333808,27851.002993700207,0.6381942788845513,0.6260444423746967,0.7276942696484051,-0.08949999076385384,35938.54187163981,17435.965638767055,0.5063715216901412,0.7934441571227926
817,0.54,264.9167298798018,1.0,264.9167298798018,245.14764356973595,28.086218816624182,56985.36744676031,29046.269661201768,0.5856300253631074,0.5477934430830408,0.6680371451274457,-0.08240711976433834,33372.34218317224,15911.356066428185,0.45693628220158033,0.7802473616653565
818,0.495,267.19132795891437,1.0,267.19132795891437,255.39456026294664,33.523990176237014,60613.143420740664,27630.287186055717,0.5580767471411672,0.54185945810315,0.6333079551375448,-0.07523120799637761,33826.78591424799,14971.73244187056,0.4359348688255991,0.7811378471845345
819,0.515,280.8923093553558,1.0,280.8923093553558,258.7142634650218,25.026160175393596,65099.99454893035,33805.35711188078,0.6069292761475366,0.5875990931740819,0.6943025553530331,-0.08737327920549653,39511.092568790875,19863.997183367148,0.500290646146064,0.8242980950295268
820,0.47,270.9213717153179,1.0,270.9213717153179,251.59801925239282,37.45051096920858,63097.916697583845,30821.76183946344,0.5329372138571131,0.5207363280541196,0.6034308249428549,-0.07049361108574181,33627.22792499855,16050.011084440779,0.41391098286034195,0.7766599368519919
821,0.525,282.49467534196714,1.0,282.49467534196714,255.09834098606564,29.12047912980365,61593.11013172541,28554.41971695161,0.5941855914668368,0.5760956138033968,0.672116385832222,-0.07793079436538519,36597.73857390128,16450.075953637053,0.46566181281441144,0.7836975845625186
822,0.48,272.41641265626055,1.0,272.41641265626055,253.30578968977952,36.32771511231183,57527.579521441294,27471.393895958456,0.5345445060933122,0.5359204183260131,0.6071357750940102,-0.07259126900069801,30751.051582032578,14722.480908720738,0.41134469053965983,0.769523745638972
823,0.495,268.2039799246236,1.0,268.2039799246236,252.58403621984033,38.0278468363675,60742.664475442594,29144.910036154488,0.5114907895230263,0.5248748206518815,0.5844543323355389,-0.0729635428125126,31069.313410276416,15297.429428141808,0.42586034037651876,0.8325865276550545
824,0.52,267.9003206485983,1.0,267.9003206485983,249.13450057468592,31.263195580199653,57117.99362815497,27351.37265158271,0.5786345336877862,0.5461966816021445,0.6545475643209677,-0.07591303063318156,33050.44360820939,14939.228979558126,0.4414470101865288,0.7629116212146446
