seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
500,0.0,EPSS-day0,25,0.24,0.3553,0.17,0.4506,0.092,0.5561
500,0.0,CAP-day0,25,0.26,0.5862,0.19,0.7011,0.092,0.7728
500,0.0,EPSS-matured-oracle,25,0.26,0.6076,0.19,0.7229,0.092,0.7947
500,0.0,CVSS-only,25,0.24,0.3934,0.15,0.4496,0.084,0.5534
500,0.0,Random,25,0.0,0.0,0.0,0.0,0.004,0.0158
500,0.0,Context-only,25,0.04,0.0916,0.03,0.1111,0.028,0.1789
500,0.0,PTI-full,25,0.26,0.6074,0.2,0.7439,0.096,0.8142
500,0.0,PTI-noObs,25,0.26,0.6186,0.17,0.6965,0.096,0.8138
500,0.0,PTI-noCrit,25,0.24,0.4235,0.17,0.5199,0.096,0.6423
500,0.25,EPSS-day0,25,0.22,0.4065,0.15,0.485,0.092,0.625
500,0.25,CAP-day0,25,0.26,0.5657,0.17,0.6421,0.092,0.7487
500,0.25,EPSS-matured-oracle,25,0.26,0.6076,0.19,0.7229,0.092,0.7947
500,0.25,CVSS-only,25,0.18,0.3407,0.14,0.4379,0.092,0.5921
500,0.25,Random,25,0.0,0.0,0.0,0.0,0.0,0.0
500,0.25,Context-only,25,0.04,0.0916,0.03,0.1111,0.028,0.1789
500,0.25,PTI-full,25,0.26,0.5876,0.17,0.6649,0.092,0.7715
500,0.25,PTI-noObs,25,0.2,0.5322,0.15,0.6334,0.096,0.7884
500,0.25,PTI-noCrit,25,0.22,0.3576,0.15,0.436,0.092,0.5758
500,0.5,EPSS-day0,25,0.2,0.2849,0.17,0.4229,0.092,0.5252
500,0.5,CAP-day0,25,0.24,0.579,0.17,0.6788,0.092,0.7844
500,0.5,EPSS-matured-oracle,25,0.26,0.6076,0.19,0.7229,0.092,0.7947
500,0.5,CVSS-only,25,0.24,0.3371,0.19,0.4763,0.088,0.527
500,0.5,Random,25,0.0,0.0,0.0,0.0,0.008,0.0333
500,0.5,Context-only,25,0.04,0.0916,0.03,0.1111,0.028,0.1789
500,0.5,PTI-full,25,0.28,0.6535,0.19,0.7506,0.096,0.8384
500,0.5,PTI-noObs,25,0.3,0.6899,0.2,0.7899,0.096,0.8568
500,0.5,PTI-noCrit,25,0.22,0.3911,0.17,0.5102,0.096,0.6317
500,0.75,EPSS-day0,25,0.16,0.288,0.18,0.4857,0.096,0.5889
500,0.75,CAP-day0,25,0.22,0.508,0.19,0.6686,0.096,0.7559
500,0.75,EPSS-matured-oracle,25,0.26,0.6076,0.19,0.7229,0.092,0.7947
500,0.75,CVSS-only,25,0.24,0.3643,0.15,0.4229,0.092,0.5587
