seed,condition,detector,n_pos,ap,p_at_k
700,SDA,Rule-Max,120,0.839,0.75
700,SDA,Rule-Count,120,0.733,0.7583
700,SDA,Mahalanobis,120,0.5691,0.55
700,SDA,IsolationForest,120,0.7195,0.675
700,SDA,OneClassSVM,120,0.5407,0.5333
700,SDA,LocalOutlierFactor,120,0.3625,0.4083
700,CDA,Rule-Max,120,0.0971,0.1083
700,CDA,Rule-Count,120,0.0824,0.0667
700,CDA,Mahalanobis,120,0.7142,0.6667
700,CDA,IsolationForest,120,0.1004,0.0417
700,CDA,OneClassSVM,120,0.2313,0.2583
700,CDA,LocalOutlierFactor,120,0.5919,0.6
700,Mixed,Rule-Max,120,0.4809,0.4583
700,Mixed,Rule-Count,120,0.3652,0.4333
700,Mixed,Mahalanobis,120,0.6545,0.5667
700,Mixed,IsolationForest,120,0.3649,0.3917
700,Mixed,OneClassSVM,120,0.4742,0.4917
700,Mixed,LocalOutlierFactor,120,0.5569,0.5417
701,SDA,Rule-Max,120,0.8478,0.7417
701,SDA,Rule-Count,120,0.7321,0.7167
701,SDA,Mahalanobis,120,0.5176,0.4917
701,SDA,IsolationForest,120,0.7194,0.65
701,SDA,OneClassSVM,120,0.5194,0.5167
701,SDA,LocalOutlierFactor,120,0.3148,0.325
701,CDA,Rule-Max,120,0.0978,0.1083
701,CDA,Rule-Count,120,0.0828,0.1
701,CDA,Mahalanobis,120,0.7223,0.675
701,CDA,IsolationForest,120,0.1018,0.075
701,CDA,OneClassSVM,120,0.239,0.2917
701,CDA,LocalOutlierFactor,120,0.6177,0.6083
701,Mixed,Rule-Max,120,0.4506,0.4167
701,Mixed,Rule-Count,120,0.3588,0.4
701,Mixed,Mahalanobis,120,0.7857,0.7167
701,Mixed,IsolationForest,120,0.4143,0.3833
701,Mixed,OneClassSVM,120,0.5614,0.5333
701,Mixed,LocalOutlierFactor,120,0.7538,0.6917
702,SDA,Rule-Max,120,0.8346,0.7333
702,SDA,Rule-Count,120,0.7231,0.7167
702,SDA,Mahalanobis,120,0.5816,0.5167
702,SDA,IsolationForest,120,0.7376,0.6833
702,SDA,OneClassSVM,120,0.5352,0.55
702,SDA,LocalOutlierFactor,120,0.4235,0.475
702,CDA,Rule-Max,120,0.1121,0.1083
702,CDA,Rule-Count,120,0.0906,0.0917
702,CDA,Mahalanobis,120,0.7503,0.6833
702,CDA,IsolationForest,120,0.1174,0.0917
702,CDA,OneClassSVM,120,0.269,0.325
702,CDA,LocalOutlierFactor,120,0.6886,0.675
702,Mixed,Rule-Max,120,0.501,0.45
702,Mixed,Rule-Count,120,0.3904,0.4083
702,Mixed,Mahalanobis,120,0.7167,0.65
702,Mixed,IsolationForest,120,0.4292,0.4083
702,Mixed,OneClassSVM,120,0.5305,0.45
702,Mixed,LocalOutlierFactor,120,0.641,0.55
703,SDA,Rule-Max,120,0.8399,0.7583
703,SDA,Rule-Count,120,0.7615,0.7417
703,SDA,Mahalanobis,120,0.6039,0.5417
703,SDA,IsolationForest,120,0.7498,0.675
703,SDA,OneClassSVM,120,0.5807,0.55
703,SDA,LocalOutlierFactor,120,0.3767,0.4083
703,CDA,Rule-Max,120,0.1097,0.1
703,CDA,Rule-Count,120,0.0825,0.0917
703,CDA,Mahalanobis,120,0.7511,0.65
703,CDA,IsolationForest,120,0.118,0.1
703,CDA,OneClassSVM,120,0.285,0.3333
703,CDA,LocalOutlierFactor,120,0.6868,0.6583
703,Mixed,Rule-Max,120,0.4756,0.4417
703,Mixed,Rule-Count,120,0.3408,0.375
703,Mixed,Mahalanobis,120,0.7374,0.6667
703,Mixed,IsolationForest,120,0.4095,0.3917
703,Mixed,OneClassSVM,120,0.5306,0.5083
703,Mixed,LocalOutlierFactor,120,0.7107,0.65
704,SDA,Rule-Max,120,0.8459,0.7667
704,SDA,Rule-Count,120,0.7775,0.7667
704,SDA,Mahalanobis,120,0.553,0.5583
704,SDA,IsolationForest,120,0.7325,0.6333
704,SDA,OneClassSVM,120,0.5553,0.5167
704,SDA,LocalOutlierFactor,120,0.3155,0.3417
704,CDA,Rule-Max,120,0.0892,0.0333
704,CDA,Rule-Count,120,0.0783,0.0667
704,CDA,Mahalanobis,120,0.6743,0.6083
704,CDA,IsolationForest,120,0.1026,0.0667
704,CDA,OneClassSVM,120,0.2452,0.275
704,CDA,LocalOutlierFactor,120,0.5945,0.5583
704,Mixed,Rule-Max,120,0.4718,0.425
704,Mixed,Rule-Count,120,0.3871,0.4167
704,Mixed,Mahalanobis,120,0.7041,0.6167
704,Mixed,IsolationForest,120,0.4643,0.4333
704,Mixed,OneClassSVM,120,0.5672,0.5167
704,Mixed,LocalOutlierFactor,120,0.6983,0.6333
705,SDA,Rule-Max,120,0.8253,0.775
