seed,axis,config,p_detect,n_rings,expected_blast,convergence_cost
1100,config,big-bang,0.8,1,1.0,0
1100,config,2-ring,0.8,2,0.24712499999999996,1
1100,config,4-ring,0.8,4,0.045047500000000004,3
1100,config,6-ring,0.8,6,0.013657500000000003,5
1100,detect,4-ring,0.2,4,0.5884124999999999,3
1100,detect,4-ring,0.5,4,0.21848499999999998,3
1100,detect,4-ring,0.8,4,0.049397500000000004,3
1100,detect,4-ring,0.95,4,0.01617,3
1101,config,big-bang,0.8,1,1.0,0
1101,config,2-ring,0.8,2,0.24807499999999996,1
1101,config,4-ring,0.8,4,0.044145000000000004,3
1101,config,6-ring,0.8,6,0.012642500000000003,5
1101,detect,4-ring,0.2,4,0.5902624999999999,3
1101,detect,4-ring,0.5,4,0.21550249999999996,3
1101,detect,4-ring,0.8,4,0.04692,3
1101,detect,4-ring,0.95,4,0.015815000000000003,3
1102,config,big-bang,0.8,1,1.0,0
1102,config,2-ring,0.8,2,0.23239999999999994,1
1102,config,4-ring,0.8,4,0.0537725,3
1102,config,6-ring,0.8,6,0.012060000000000003,5
1102,detect,4-ring,0.2,4,0.6004074999999999,3
1102,detect,4-ring,0.5,4,0.22061999999999998,3
1102,detect,4-ring,0.8,4,0.05079750000000001,3
1102,detect,4-ring,0.95,4,0.015862500000000005,3
1103,config,big-bang,0.8,1,1.0,0
1103,config,2-ring,0.8,2,0.23287499999999994,1
1103,config,4-ring,0.8,4,0.051825,3
1103,config,6-ring,0.8,6,0.011885000000000001,5
1103,detect,4-ring,0.2,4,0.5875174999999999,3
1103,detect,4-ring,0.5,4,0.22088499999999997,3
1103,detect,4-ring,0.8,4,0.046700000000000005,3
1103,detect,4-ring,0.95,4,0.015042500000000002,3
1104,config,big-bang,0.8,1,1.0,0
1104,config,2-ring,0.8,2,0.23287499999999994,1
1104,config,4-ring,0.8,4,0.047172500000000006,3
1104,config,6-ring,0.8,6,0.012199999999999999,5
1104,detect,4-ring,0.2,4,0.5971675000000001,3
1104,detect,4-ring,0.5,4,0.22069999999999998,3
1104,detect,4-ring,0.8,4,0.048212500000000005,3
1104,detect,4-ring,0.95,4,0.015812500000000004,3
1105,config,big-bang,0.8,1,1.0,0
1105,config,2-ring,0.8,2,0.23714999999999997,1
1105,config,4-ring,0.8,4,0.046905,3
1105,config,6-ring,0.8,6,0.011863750000000001,5
1105,detect,4-ring,0.2,4,0.5951875,3
1105,detect,4-ring,0.5,4,0.21739749999999997,3
1105,detect,4-ring,0.8,4,0.04772500000000001,3
1105,detect,4-ring,0.95,4,0.01514,3
1106,config,big-bang,0.8,1,1.0,0
1106,config,2-ring,0.8,2,0.23643749999999994,1
1106,config,4-ring,0.8,4,0.046545,3
1106,config,6-ring,0.8,6,0.013472500000000002,5
1106,detect,4-ring,0.2,4,0.586235,3
1106,detect,4-ring,0.5,4,0.219545,3
1106,detect,4-ring,0.8,4,0.0473425,3
1106,detect,4-ring,0.95,4,0.015825000000000002,3
1107,config,big-bang,0.8,1,1.0,0
1107,config,2-ring,0.8,2,0.23619999999999994,1
1107,config,4-ring,0.8,4,0.04553,3
1107,config,6-ring,0.8,6,0.013438750000000003,5
1107,detect,4-ring,0.2,4,0.5865624999999999,3
1107,detect,4-ring,0.5,4,0.22244499999999998,3
1107,detect,4-ring,0.8,4,0.047595,3
1107,detect,4-ring,0.95,4,0.0165625,3
1108,config,big-bang,0.8,1,1.0,0
1108,config,2-ring,0.8,2,0.23168749999999994,1
1108,config,4-ring,0.8,4,0.0456,3
1108,config,6-ring,0.8,6,0.011430000000000001,5
1108,detect,4-ring,0.2,4,0.5964299999999998,3
1108,detect,4-ring,0.5,4,0.22936999999999994,3
1108,detect,4-ring,0.8,4,0.0466075,3
1108,detect,4-ring,0.95,4,0.01514,3
1109,config,big-bang,0.8,1,1.0,0
1109,config,2-ring,0.8,2,0.22931249999999995,1
1109,config,4-ring,0.8,4,0.048605,3
1109,config,6-ring,0.8,6,0.0120625,5
1109,detect,4-ring,0.2,4,0.59727,3
1109,detect,4-ring,0.5,4,0.2087525,3
1109,detect,4-ring,0.8,4,0.0485425,3
1109,detect,4-ring,0.95,4,0.0158175,3
1110,config,big-bang,0.8,1,1.0,0
1110,config,2-ring,0.8,2,0.23073749999999996,1
1110,config,4-ring,0.8,4,0.047815,3
1110,config,6-ring,0.8,6,0.01219125,5
1110,detect,4-ring,0.2,4,0.5896825,3
1110,detect,4-ring,0.5,4,0.212195,3
1110,detect,4-ring,0.8,4,0.0465425,3
1110,detect,4-ring,0.95,4,0.016037500000000007,3
1111,config,big-bang,0.8,1,1.0,0
1111,config,2-ring,0.8,2,0.24807499999999993,1
1111,config,4-ring,0.8,4,0.046579999999999996,3
1111,config,6-ring,0.8,6,0.012355,5
1111,detect,4-ring,0.2,4,0.5966924999999998,3
1111,detect,4-ring,0.5,4,0.21242999999999998,3
1111,detect,4-ring,0.8,4,0.048427500000000005,3
1111,detect,4-ring,0.95,4,0.015335000000000005,3
1112,config,big-bang,0.8,1,1.0,0
1112,config,2-ring,0.8,2,0.24617499999999995,1
1112,config,4-ring,0.8,4,0.049870000000000005,3
1112,config,6-ring,0.8,6,0.01255875,5
1112,detect,4-ring,0.2,4,0.6005249999999999,3
1112,detect,4-ring,0.5,4,0.21938499999999997,3
1112,detect,4-ring,0.8,4,0.0480075,3
1112,detect,4-ring,0.95,4,0.015412500000000003,3
