seed,axis,rec_random_annual,rec_random_chaos,gain,gain_ceiling,ceiling_gap,drill_illusion_annual,coverage,cadence,interval,rec_random,rec_drill,illusion
1200,reference,0.6967816196584344,0.9466064775190904,0.249824857860656,0.25822236782159536,-0.008397509960939353,0.30321838034156556,,,,,,
1200,coverage,,0.9117938005293618,0.21501218087092733,,,,0.3,,,,,
1200,coverage,,0.9279078473821041,0.23112622772366964,,,,0.5,,,,,
1200,coverage,,0.9466064775190904,0.249824857860656,,,,0.7,,,,,
1200,coverage,,0.9743254736675573,0.27754385400912285,,,,0.9,,,,,
1200,cadence,,0.9537468337020943,0.2569652140436599,,,,,1.0,,,,
1200,cadence,,0.9466064775190904,0.249824857860656,,,,,7.0,,,,
1200,cadence,,0.9165928877572289,0.21981126809879448,,,,,30.0,,,,
1200,cadence,,0.8582497615110203,0.16146814185258584,,,,,90.0,,,,
1200,drill_interval,,,,,,,,,365.0,0.6967816196584344,1.0,0.30321838034156556
1200,drill_interval,,,,,,,,,180.0,0.8098875715108494,1.0,0.19011242848915055
1200,drill_interval,,,,,,,,,90.0,0.8899668168891657,1.0,0.11003318311083432
1200,drill_interval,,,,,,,,,30.0,0.9578989842312647,1.0,0.04210101576873526
1201,reference,0.6901348758853951,0.9643163434258746,0.27418146754047945,0.2838832937457272,-0.009701826205247732,0.3098651241146049,,,,,,
1201,coverage,,0.8989230890409314,0.2087882131555363,,,,0.3,,,,,
1201,coverage,,0.9429921425126326,0.2528572666272375,,,,0.5,,,,,
1201,coverage,,0.9643163434258746,0.27418146754047945,,,,0.7,,,,,
1201,coverage,,0.9798642886313541,0.289729412745959,,,,0.9,,,,,
1201,cadence,,0.9727030926447925,0.28256821675939736,,,,,1.0,,,,
1201,cadence,,0.9643163434258746,0.27418146754047945,,,,,7.0,,,,
1201,cadence,,0.9395383960390434,0.2494035201536483,,,,,30.0,,,,
1201,cadence,,0.8821157939486202,0.19198091806322504,,,,,90.0,,,,
1201,drill_interval,,,,,,,,,365.0,0.6901348758853951,1.0,0.3098651241146049
1201,drill_interval,,,,,,,,,180.0,0.8196521681661882,1.0,0.18034783183381176
1201,drill_interval,,,,,,,,,90.0,0.8975267528527296,1.0,0.10247324714727035
1201,drill_interval,,,,,,,,,30.0,0.9631685330253448,1.0,0.036831466974655225
1202,reference,0.6796050510269953,0.9326734082207787,0.2530683571937834,0.2631052085533526,-0.010036851359569221,0.3203949489730047,,,,,,
1202,coverage,,0.9029245497732902,0.22331949874629486,,,,0.3,,,,,
1202,coverage,,0.9084496639285413,0.228844612901546,,,,0.5,,,,,
1202,coverage,,0.9326734082207787,0.2530683571937834,,,,0.7,,,,,
1202,coverage,,0.9793577819694858,0.29975273094249044,,,,0.9,,,,,
1202,cadence,,0.9412807141568518,0.26167566312985646,,,,,1.0,,,,
1202,cadence,,0.9326734082207787,0.2530683571937834,,,,,7.0,,,,
1202,cadence,,0.9062979456710676,0.22669289464407227,,,,,30.0,,,,
1202,cadence,,0.8467170803054941,0.16711202927849877,,,,,90.0,,,,
1202,drill_interval,,,,,,,,,365.0,0.6796050510269953,1.0,0.3203949489730047
1202,drill_interval,,,,,,,,,180.0,0.805470918548904,1.0,0.19452908145109604
1202,drill_interval,,,,,,,,,90.0,0.8907530522277171,1.0,0.10924694777228294
1202,drill_interval,,,,,,,,,30.0,0.9606078901960303,1.0,0.03939210980396968
