batch_id,cell_id,scheduler_feasibility_rate,n_seeds
B-primary-ablation,ABL-w_context_dominant-remove_C,1.000000,30
B-primary-ablation,ABL-w_context_dominant-remove_E,1.000000,30
B-primary-ablation,ABL-w_context_dominant-remove_K,1.000000,30
B-primary-ablation,ABL-w_context_dominant-remove_R,1.000000,30
B-primary-ablation,ABL-w_context_dominant-remove_S,1.000000,30
B-primary-ablation,ABL-w_context_dominant-remove_X,1.000000,30
B-primary-ablation,ABL-w_paper1_placeholder-remove_C,1.000000,30
B-primary-ablation,ABL-w_paper1_placeholder-remove_E,1.000000,30
B-primary-ablation,ABL-w_paper1_placeholder-remove_K,1.000000,30
B-primary-ablation,ABL-w_paper1_placeholder-remove_R,1.000000,30
B-primary-ablation,ABL-w_paper1_placeholder-remove_S,1.000000,30
B-primary-ablation,ABL-w_paper1_placeholder-remove_X,1.000000,30
B-primary-blackout,BLK-epss_only-light,1.000000,30
B-primary-blackout,BLK-epss_only-none,1.000000,30
B-primary-blackout,BLK-epss_only-strict,1.000000,30
B-primary-blackout,BLK-proposed-w_context_dominant-light,1.000000,30
B-primary-blackout,BLK-proposed-w_context_dominant-none,1.000000,30
B-primary-blackout,BLK-proposed-w_context_dominant-strict,1.000000,30
B-primary-blackout,BLK-proposed-w_paper1_placeholder-light,1.000000,30
B-primary-blackout,BLK-proposed-w_paper1_placeholder-none,1.000000,30
B-primary-blackout,BLK-proposed-w_paper1_placeholder-strict,1.000000,30
B-primary-capacity,CAP-cvss_plus_epss_plus_kev-cap0005,1.000000,30
B-primary-capacity,CAP-cvss_plus_epss_plus_kev-cap0020,1.000000,30
B-primary-capacity,CAP-cvss_plus_epss_plus_kev-cap0050,1.000000,30
B-primary-capacity,CAP-epss_only-cap0005,1.000000,30
B-primary-capacity,CAP-epss_only-cap0020,1.000000,30
B-primary-capacity,CAP-epss_only-cap0050,1.000000,30
B-primary-capacity,CAP-proposed-w_context_dominant-cap0005,1.000000,30
B-primary-capacity,CAP-proposed-w_context_dominant-cap0020,1.000000,30
B-primary-capacity,CAP-proposed-w_context_dominant-cap0050,1.000000,30
B-primary-capacity,CAP-proposed-w_epss_dominant-cap0005,1.000000,30
B-primary-capacity,CAP-proposed-w_epss_dominant-cap0020,1.000000,30
B-primary-capacity,CAP-proposed-w_epss_dominant-cap0050,1.000000,30
B-primary-capacity,CAP-proposed-w_paper1_placeholder-cap0005,1.000000,30
B-primary-capacity,CAP-proposed-w_paper1_placeholder-cap0020,1.000000,30
B-primary-capacity,CAP-proposed-w_paper1_placeholder-cap0050,1.000000,30
B-primary-primary,P-cvss_only-na,1.000000,30
B-primary-primary,P-cvss_plus_epss_plus_kev-na,1.000000,30
B-primary-primary,P-cvss_x_epss-na,1.000000,30
B-primary-primary,P-epss_only-na,1.000000,30
B-primary-primary,P-kev_first-na,1.000000,30
B-primary-primary,P-proposed-w_context_dominant,1.000000,30
B-primary-primary,P-proposed-w_cvss_dominant,1.000000,30
B-primary-primary,P-proposed-w_epss_dominant,1.000000,30
B-primary-primary,P-proposed-w_kev_dominant,1.000000,30
B-primary-primary,P-proposed-w_paper1_placeholder,1.000000,30
B-primary-primary,P-proposed-w_uniform,1.000000,30
B-primary-primary,P-random-na,1.000000,30
