event_id,computer_id,cve_id,action_type,action_timestamp,actor_type,remediation_latency_days,is_anomalous,anomaly_class
51be756e-c6a8-38b8-9a58-c88887132960,778188d3-8915-b538-cd40-2f368e1ee25e,CVE-SYNTH-2024-05326,patch_applied,2023-11-29T16:48:00,manual,32.3,False,
16408742-c1c2-aaf2-9e21-1dd9352f3923,4384893f-ad8d-2d20-7b06-d9cb973f54ec,CVE-SYNTH-2024-74566,patch_applied,2023-11-29T16:48:00,manual,32.3,False,
f739fb39-34cc-daf8-bcd0-2fe1a65b657d,4384893f-ad8d-2d20-7b06-d9cb973f54ec,CVE-SYNTH-2024-71622,patch_applied,2023-12-22T12:00:00,automated,9.5,False,
45ff1846-e560-9817-f7a6-d488c77ab6a4,197f523e-8143-24e4-894e-927494981087,CVE-SYNTH-2024-43010,patch_applied,2023-09-30T07:12:00,automated,92.7,False,
206fdfd1-1c88-43ec-0206-4bf1b6355e42,645adf39-ff56-c704-11f5-d637ae24dbcf,CVE-SYNTH-2024-55665,patch_applied,2023-10-16T12:00:00,manual,76.5,False,
5b4196b5-0f90-a209-3630-65b853ea2c17,9d613f7f-f168-91af-0cf5-5db6bbd4ae07,CVE-SYNTH-2024-81828,patch_applied,2023-11-26T19:12:00,automated,35.2,False,
d14e90dc-d093-9c90-a715-887e754df6db,6b876c55-ee85-c702-c98c-083d452e55ea,CVE-SYNTH-2024-42420,patch_applied,2023-07-18T00:00:00,manual,167.0,False,
1297c4e8-44c6-f940-2f4a-96f5b076da22,3131fc13-95ce-3e5f-a043-3409b8b8dcf6,CVE-SYNTH-2024-35591,patch_applied,2023-11-19T16:48:00,automated,42.3,False,
1f333ca1-c141-c593-d0d2-e53ae662d1d6,2fd6e236-093e-483c-d41f-4d656f747b40,CVE-SYNTH-2024-33190,patch_applied,2023-12-23T21:36:00,manual,8.1,False,
aad4a52d-52d2-a229-41d1-ddfa8a002334,78ac376a-243f-b2a3-aff1-dbc7d3d13599,CVE-SYNTH-2024-56943,patch_applied,2023-10-16T07:12:00,automated,76.7,False,
ca9a98e2-308f-802f-9e6b-6a44961c141c,9e5b596e-12be-f2c0-c2b6-5997e2df4e1e,CVE-SYNTH-2024-80972,patch_applied,2023-12-06T00:00:00,manual,26.0,False,
8a238802-eed5-9eca-8070-545815296324,6c57b5c7-6649-b8d3-705c-68614f6e741b,CVE-SYNTH-2024-62806,patch_applied,2023-10-30T14:24:00,automated,62.4,False,
165efa3e-6d0f-90fd-d290-e2e528ea6361,6c57b5c7-6649-b8d3-705c-68614f6e741b,CVE-SYNTH-2024-53626,patch_applied,2023-10-04T21:36:00,automated,88.1,False,
d70d3c36-ad3b-4b7f-5161-2712d830cec9,0304536d-2161-57af-ccaa-723c48fc8ca0,CVE-SYNTH-2024-79831,patch_applied,2023-11-18T02:24:00,manual,43.9,False,
c08cb114-5be5-c228-48dd-a3b945423027,4a38adca-783a-92f9-e76f-b836c67705da,CVE-SYNTH-2024-78494,patch_applied,2023-12-23T21:36:00,automated,8.1,False,
8a3b245b-95a6-f4e0-24b8-3bf1dcf3ff63,7100c24d-d0fa-3231-092e-17e9655cbfcb,CVE-SYNTH-2024-73772,patch_applied,2023-10-23T04:48:00,automated,69.8,False,
ffe44633-15c6-7dd9-4c28-e331245b47f4,69035f45-4eb8-b0f0-73fb-4b5a105ff690,CVE-SYNTH-2024-87851,patch_applied,2023-11-09T14:24:00,automated,52.4,False,
85f1c711-04e2-08d1-96ab-fc22db4080c2,1f196d36-f341-6214-7fec-5869fb44b57d,CVE-SYNTH-2024-01224,patch_applied,2023-12-22T19:12:00,automated,9.2,False,
f946766e-9878-5566-41c7-4837d317e6aa,58dd3726-c495-38b5-b465-49e57d06477a,CVE-SYNTH-2024-18865,patch_applied,2023-10-27T19:12:00,manual,65.2,False,
02c831ae-c8ec-20ad-3739-8dc312b15c6f,d30bbc48-21ac-584e-277f-7296a4f8d3f1,CVE-SYNTH-2024-85532,patch_applied,2023-11-28T19:12:00,automated,33.2,False,
316765fe-d59e-b86c-b0a3-9b18e23f51fa,abb70a1b-b635-5408-66f0-d70e229cd8e5,CVE-SYNTH-2024-46792,patch_applied,2023-11-21T00:00:00,manual,41.0,False,
7e8fff01-9c95-773b-ce0b-1bd85e66a7bc,e3f00ede-72dc-0fbe-fe6b-2df996847529,CVE-SYNTH-2024-20878,patch_applied,2023-12-11T00:00:00,manual,21.0,False,
6ce7ba31-62fb-41f0-dada-446b2817159c,e3f00ede-72dc-0fbe-fe6b-2df996847529,CVE-SYNTH-2024-87044,patch_applied,2023-11-19T02:24:00,manual,42.9,False,
888ebe73-68c8-2872-18f8-dabe66388acc,31f63417-1bc9-06a2-d325-4a1ffe257e9c,CVE-SYNTH-2024-59548,patch_applied,2023-07-30T07:12:00,automated,154.7,False,
b0c87ab5-b370-079c-5087-f62726210cb3,31f63417-1bc9-06a2-d325-4a1ffe257e9c,CVE-SYNTH-2024-76808,patch_applied,2023-11-30T04:48:00,automated,31.8,False,
50ee2e8e-be8a-3106-90d8-dc0f45fc165a,5d5b7060-1903-fdb3-e2b0-376f89b1d457,CVE-SYNTH-2024-57532,patch_applied,2023-10-13T16:48:00,automated,79.3,False,
6d5985fb-675c-a622-736d-ae1c52a8afaa,5d5b7060-1903-fdb3-e2b0-376f89b1d457,CVE-SYNTH-2024-55060,patch_applied,2023-12-17T21:36:00,manual,14.1,False,
81674cc0-3293-870e-bceb-cf2faa92ed5d,b2210e3e-dd1f-2414-ac8d-f817725bbacc,CVE-SYNTH-2024-03647,patch_applied,2023-11-30T12:00:00,automated,31.5,False,
246bfdd8-8a40-6334-3baa-22617fa19fe9,766a57b0-115e-ef25-d078-105434cba8b4,CVE-SYNTH-2024-14580,patch_applied,2023-11-09T02:24:00,manual,52.9,False,
3092447c-6b99-4df6-474f-1a92f7d61bc0,1c5ae001-1de2-e3ec-2c55-15f48c5f8a8e,CVE-SYNTH-2024-14262,patch_applied,2023-12-07T04:48:00,automated,24.8,False,
28d089cc-95ea-f647-89ef-6acd43c32485,f5623f1a-433f-d733-b3db-285da8c80116,CVE-SYNTH-2024-03280,patch_applied,2023-11-08T21:36:00,automated,53.1,False,
892dc838-d6eb-f69b-b62d-077c93ffb323,da0e32a4-02b1-251c-c819-104a5e8919ea,CVE-SYNTH-2024-45791,patch_applied,2023-12-26T16:48:00,automated,5.3,False,
b276dfd4-2904-23c6-3f7e-1cdaf69e8af5,06907069-8b6d-7619-8b7a-b6b37efb06d3,CVE-SYNTH-2024-48724,patch_applied,2023-04-04T19:12:00,manual,271.2,False,
5ae45624-9436-c50e-12b2-06b5578e4517,99129d06-c02f-2df0-0311-9e719bbe8569,CVE-SYNTH-2024-54891,patch_applied,2023-09-15T12:00:00,manual,107.5,False,
115c7668-d58a-846c-4185-56a5f27b5353,228b15c3-f60f-4e3d-fa63-9656c7b46b71,CVE-SYNTH-2024-03690,patch_applied,2023-10-04T07:12:00,automated,88.7,False,
15b7f7aa-829f-698e-67c0-fbde5af95a77,dd53cbe2-4fc0-0e9b-3e0b-b2dec5b44587,CVE-SYNTH-2024-47856,patch_applied,2023-09-06T21:36:00,automated,116.1,False,
a33802a0-ff67-13e9-efbe-832a18ebd84e,dd53cbe2-4fc0-0e9b-3e0b-b2dec5b44587,CVE-SYNTH-2024-27233,patch_applied,2023-11-27T00:00:00,automated,35.0,False,
b1889d55-c1d3-788f-5375-d30d3134e4bc,0d86dd35-7158-71b3-8005-09ee0c3c629d,CVE-SYNTH-2024-70559,patch_applied,2023-12-13T04:48:00,automated,18.8,False,
08f4c5dd-5c14-d0b7-73c7-00baec3fd60a,840b8ab2-a59f-0215-e26c-72e3e72f2af4,CVE-SYNTH-2024-17710,patch_applied,2023-10-26T21:36:00,manual,66.1,False,
b5801143-7df9-1a8e-c290-1116fad1cc43,b65467e4-2bf1-9adc-7495-7b8f35ae7173,CVE-SYNTH-2024-28425,patch_applied,2023-11-03T16:48:00,manual,58.3,False,
