asset_id,asset_type,asset_criticality,owner_ou,in_inventory,in_endpoint_mgmt,inventory_mismatch_flag,source_freshness_flag,last_updated_at
4622d450-4eb5-5d71-5ba7-5601475cde59,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
9008112c-602f-d434-4026-6c036d0f82ec,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
f25386ce-5469-c1e9-b369-f2c1bec43793,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
c2dd02a0-3c17-483d-e9df-a6ee36b56000,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
e44d0cde-bd18-5f58-691d-f3e0a2e45fd4,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
b026b415-6686-8f15-ce77-1ab6aa67c42c,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
bd65f109-a7c6-546c-bc3c-8191ea30086a,endpoint,critical,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
abcff547-94d7-2998-6cc0-8223a80eb4d8,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
778188d3-8915-b538-cd40-2f368e1ee25e,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
4384893f-ad8d-2d20-7b06-d9cb973f54ec,endpoint,low,"OU=Workstations,DC=corp,DC=local",False,True,True,fresh,2024-01-01T00:00:00
197f523e-8143-24e4-894e-927494981087,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
a6e5880d-8680-7c37-0598-d21804602352,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
04d8c99c-e4ae-3be7-8e0f-cab4ce50d23c,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
645adf39-ff56-c704-11f5-d637ae24dbcf,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
744452e4-5c41-6897-030b-9c97fa37f9ab,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
b672abbf-73aa-311c-2699-c1e769530834,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
e65e0a6d-97b3-ec01-58b0-fabc2d6fdd70,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
3ee0b81d-d221-aa0f-d882-8123eb6ea881,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
9d613f7f-f168-91af-0cf5-5db6bbd4ae07,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
2ca8bf17-663b-dcc7-fea5-36b8311e1828,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
6b876c55-ee85-c702-c98c-083d452e55ea,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
3131fc13-95ce-3e5f-a043-3409b8b8dcf6,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
5ba13b0c-2d13-de1b-8274-6107a57d5d06,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
59d36806-ec01-7be2-ac58-9b152b45afd3,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
e827b30e-4d9b-0b33-f38a-b897b66af5d8,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
f21beba8-29fa-c67a-3ffd-21a725db22e1,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
b405510d-1fcc-5267-05af-d6394a343516,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
3617f531-9a55-d06c-9b93-e2b59f9ddbf2,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
d9703d8e-6b92-cf46-ca91-039fc19ad631,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
b9878832-bf30-e6b4-e0b4-0f3c73a67faf,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
83b66174-013e-881e-2675-b56b6d0b3737,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
1b06f755-3b53-e28c-3118-f4f11a018ef7,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
2fd6e236-093e-483c-d41f-4d656f747b40,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
78ac376a-243f-b2a3-aff1-dbc7d3d13599,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
9c01127f-5069-32fc-af40-97cc6e360982,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
232183eb-c754-0fea-23b9-167a1ed0c7eb,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
ba25b822-f380-1e91-c3f0-4bfc1cd69db7,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
9e5b596e-12be-f2c0-c2b6-5997e2df4e1e,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
766a65ea-c560-0d9d-2437-6b25f8d9a86c,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
ee253237-d28b-76b0-1255-463a78b742fd,endpoint,critical,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
7927b1f8-1143-97c4-cbe9-9c0bbd63b0ff,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
6c57b5c7-6649-b8d3-705c-68614f6e741b,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
0304536d-2161-57af-ccaa-723c48fc8ca0,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
4a38adca-783a-92f9-e76f-b836c67705da,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
00f15c2c-d71b-22f0-a7cd-c4d48a0b76b6,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
7100c24d-d0fa-3231-092e-17e9655cbfcb,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
