seed,method,n_pairs,n_positives,ranked_list_hash,p_at_50,ndcg_at_50,oracle_gap_at_50,p_at_100,ndcg_at_100,oracle_gap_at_100,p_at_250,ndcg_at_250,oracle_gap_at_250
100,HygienePrio-full,3458,187,7ecbbb108dfc6f9d,0.38,0.3483,62.0,0.45,0.4152,55.0,0.412,0.5,44.92
100,HygienePrio-noInteraction,3458,187,c83694bcd4f48230,0.38,0.3398,62.0,0.44,0.4011,56.0,0.412,0.4949,44.92
100,HygienePrio-noPatch,3458,187,013fc026ec72819d,0.2,0.1791,80.0,0.28,0.2484,72.0,0.256,0.3038,65.78
100,HygienePrio-noAD,3458,187,4a73538df3679ffa,0.36,0.3208,64.0,0.36,0.3352,64.0,0.36,0.4338,51.87
100,HygienePrio-noFreshness,3458,187,840eae7f7f39851a,0.4,0.3633,60.0,0.44,0.4084,56.0,0.4,0.4878,46.52
100,EPSS-only,3458,187,4259f14c1aff54b4,0.12,0.0989,88.0,0.17,0.1453,83.0,0.196,0.2244,73.8
100,CVSS-only,3458,187,6c395883c8ad6c23,0.1,0.1291,90.0,0.07,0.0945,93.0,0.06,0.0921,91.98
100,HRS-only,3458,187,a5747499afef7b62,0.22,0.2596,78.0,0.24,0.2598,76.0,0.232,0.3031,68.98
100,Random,3458,187,b79dc8a8cb426b31,0.04,0.0383,96.0,0.05,0.0462,95.0,0.06,0.0692,91.98
101,HygienePrio-full,3508,174,03a6426be942d4e1,0.46,0.49,54.0,0.39,0.4249,61.0,0.36,0.5029,48.28
101,HygienePrio-noInteraction,3508,174,f1d4abbfc830d0e4,0.4,0.431,60.0,0.39,0.4111,61.0,0.36,0.4926,48.28
101,HygienePrio-noPatch,3508,174,e13e3826d28561f5,0.2,0.2258,80.0,0.2,0.2152,80.0,0.24,0.3165,65.52
101,HygienePrio-noAD,3508,174,1570963f0a416bcc,0.36,0.3791,64.0,0.31,0.3332,69.0,0.308,0.4218,55.75
101,HygienePrio-noFreshness,3508,174,25727c77f678d7b5,0.4,0.4384,60.0,0.35,0.3869,65.0,0.34,0.4743,51.15
101,EPSS-only,3508,174,2bb0237db8977373,0.12,0.1123,88.0,0.13,0.1216,87.0,0.168,0.206,75.86
101,CVSS-only,3508,174,5abaa2a8d162c6b1,0.1,0.1096,90.0,0.07,0.0826,93.0,0.06,0.0897,91.38
101,HRS-only,3508,174,135d296bed746197,0.16,0.1292,84.0,0.21,0.1799,79.0,0.224,0.2713,67.82
101,Random,3508,174,defd096595133081,0.06,0.0604,94.0,0.03,0.0372,97.0,0.032,0.046,95.4
102,HygienePrio-full,3479,252,0e74dcc36636f67b,0.58,0.6285,42.0,0.48,0.5308,52.0,0.412,0.4502,58.8
102,HygienePrio-noInteraction,3479,252,5ffc5cdc22792e8d,0.56,0.6087,44.0,0.46,0.5115,54.0,0.416,0.45,58.4
102,HygienePrio-noPatch,3479,252,c7a5174372078a65,0.3,0.3576,70.0,0.3,0.3357,70.0,0.272,0.2954,72.8
102,HygienePrio-noAD,3479,252,10a192d515d974af,0.46,0.5042,54.0,0.41,0.4491,59.0,0.38,0.4037,62.0
102,HygienePrio-noFreshness,3479,252,83b82301559f1a20,0.58,0.6277,42.0,0.44,0.5014,56.0,0.416,0.452,58.4
102,EPSS-only,3479,252,8f0637b943577d2a,0.22,0.2207,78.0,0.2,0.2058,80.0,0.216,0.2168,78.4
102,CVSS-only,3479,252,fa8fbdcd6258ac8e,0.12,0.177,88.0,0.1,0.1388,90.0,0.088,0.1093,91.2
102,HRS-only,3479,252,bf0191919965a210,0.28,0.2751,72.0,0.32,0.3058,68.0,0.328,0.3201,67.2
102,Random,3479,252,6d706a0ee4f2af79,0.04,0.0922,96.0,0.06,0.087,94.0,0.056,0.0708,94.4
103,HygienePrio-full,3466,211,05b0c3ed9654c813,0.46,0.4936,54.0,0.46,0.4821,54.0,0.436,0.515,48.34
103,HygienePrio-noInteraction,3466,211,6da2a99d3159bf58,0.46,0.4818,54.0,0.46,0.4731,54.0,0.436,0.5092,48.34
103,HygienePrio-noPatch,3466,211,dd7ee223a6f2b300,0.3,0.273,70.0,0.27,0.2618,73.0,0.272,0.3055,67.77
103,HygienePrio-noAD,3466,211,7e7f6be9d41cf5c9,0.4,0.4603,60.0,0.38,0.4218,62.0,0.392,0.4686,53.55
103,HygienePrio-noFreshness,3466,211,5ff4a701a8fd60b3,0.48,0.4984,52.0,0.46,0.4775,54.0,0.436,0.511,48.34
103,EPSS-only,3466,211,d24e5bd91b9726a1,0.2,0.173,80.0,0.17,0.1612,83.0,0.212,0.2277,74.88
103,CVSS-only,3466,211,aac38a3570607085,0.08,0.1453,92.0,0.08,0.1208,92.0,0.056,0.0919,93.36
103,HRS-only,3466,211,a307ff58b27cd3e0,0.34,0.3003,66.0,0.31,0.2915,69.0,0.304,0.3373,63.98
103,Random,3466,211,81ebb063e8cc9cd5,0.08,0.0744,92.0,0.06,0.0607,94.0,0.088,0.0957,89.57
104,HygienePrio-full,3498,248,0e8ce8f310eccb81,0.44,0.4597,56.0,0.42,0.4374,58.0,0.384,0.4034,61.29
104,HygienePrio-noInteraction,3498,248,ea16e909b1de3a78,0.42,0.3991,58.0,0.4,0.3924,60.0,0.38,0.3839,61.69
104,HygienePrio-noPatch,3498,248,43f05c8fc6f5c946,0.28,0.2956,72.0,0.28,0.2892,72.0,0.292,0.2964,70.56
104,HygienePrio-noAD,3498,248,e7cfe979b11d0403,0.36,0.3708,64.0,0.38,0.3798,62.0,0.336,0.345,66.13
104,HygienePrio-noFreshness,3498,248,fdb574594a89dc6b,0.46,0.46,54.0,0.41,0.4208,59.0,0.376,0.3909,62.1
104,EPSS-only,3498,248,319251ad7865ed98,0.16,0.1366,84.0,0.18,0.1612,82.0,0.204,0.191,79.44
104,CVSS-only,3498,248,b027f523a9b2d5bf,0.1,0.0895,90.0,0.09,0.0865,91.0,0.064,0.0667,93.55
104,HRS-only,3498,248,03c0f0142def97b3,0.3,0.3355,70.0,0.23,0.269,77.0,0.292,0.3027,70.56
104,Random,3498,248,061ae392cb139a77,0.1,0.083,90.0,0.07,0.067,93.0,0.076,0.0737,92.34
105,HygienePrio-full,3507,212,ee8f543d0be9c73b,0.58,0.6253,42.0,0.49,0.5392,51.0,0.428,0.5245,49.53
105,HygienePrio-noInteraction,3507,212,edfac6a6ed7220c4,0.52,0.537,48.0,0.48,0.5007,52.0,0.424,0.5025,50.0
105,HygienePrio-noPatch,3507,212,1fe6ad94b58e19f2,0.36,0.3545,64.0,0.33,0.333,67.0,0.308,0.3553,63.68
105,HygienePrio-noAD,3507,212,adcde865f6db3ebd,0.5,0.5556,50.0,0.41,0.4652,59.0,0.384,0.4712,54.72
105,HygienePrio-noFreshness,3507,212,cb353ebd743c2374,0.56,0.5686,44.0,0.49,0.5122,51.0,0.42,0.5006,50.47
105,EPSS-only,3507,212,10a563c5fb7c5d4f,0.24,0.2362,76.0,0.23,0.2306,77.0,0.224,0.2562,73.58
105,CVSS-only,3507,212,97d550e995c1f6e7,0.02,0.0154,98.0,0.04,0.0328,96.0,0.052,0.0528,93.87
105,HRS-only,3507,212,931831450909e185,0.26,0.2584,74.0,0.23,0.2368,77.0,0.256,0.2901,69.81
105,Random,3507,212,45e0c90e22f1643e,0.08,0.0647,92.0,0.1,0.0867,90.0,0.072,0.0801,91.51
106,HygienePrio-full,3515,218,c7e50431cc5cd090,0.48,0.4808,52.0,0.49,0.4886,51.0,0.464,0.5187,46.79
106,HygienePrio-noInteraction,3515,218,ee5ae00ef53da311,0.46,0.4254,54.0,0.47,0.4466,53.0,0.46,0.4987,47.25
106,HygienePrio-noPatch,3515,218,6651963fcc49ac27,0.3,0.2476,70.0,0.27,0.2453,73.0,0.292,0.3046,66.51
106,HygienePrio-noAD,3515,218,83ebe0342ab5ee9b,0.34,0.3304,66.0,0.36,0.3509,64.0,0.408,0.4373,53.21
106,HygienePrio-noFreshness,3515,218,4c2f120cfbbfd003,0.48,0.4826,52.0,0.47,0.4753,53.0,0.444,0.5015,49.08
106,EPSS-only,3515,218,28e0cbcebc8677e1,0.14,0.1105,86.0,0.15,0.1296,85.0,0.216,0.2143,75.23
106,CVSS-only,3515,218,6940454f4a5cd9c4,0.04,0.0528,96.0,0.02,0.0325,98.0,0.044,0.0509,94.95
106,HRS-only,3515,218,46538c2cbec264c1,0.26,0.314,74.0,0.34,0.3533,66.0,0.312,0.3599,64.22
106,Random,3515,218,3d18e4ad23dcf993,0.04,0.0363,96.0,0.04,0.0378,96.0,0.048,0.0511,94.5
107,HygienePrio-full,3480,224,d97bcf29b586a530,0.52,0.6032,48.0,0.47,0.5336,53.0,0.416,0.4985,53.57
107,HygienePrio-noInteraction,3480,224,274d9b3bf6acaef1,0.52,0.5919,48.0,0.44,0.504,56.0,0.412,0.4896,54.02
107,HygienePrio-noPatch,3480,224,e9a0b66461aef906,0.36,0.4175,64.0,0.31,0.3566,69.0,0.292,0.3463,67.41
107,HygienePrio-noAD,3480,224,7aa7ee9cd5dfc098,0.44,0.4657,56.0,0.4,0.4242,60.0,0.368,0.4187,58.93
107,HygienePrio-noFreshness,3480,224,92daf9e8ccbd587c,0.52,0.5971,48.0,0.45,0.5131,55.0,0.404,0.4827,54.91
107,EPSS-only,3480,224,3f5455b0a8c141c8,0.22,0.2095,78.0,0.19,0.1892,81.0,0.216,0.2282,75.89
107,CVSS-only,3480,224,a28e741b5f97892c,0.08,0.0714,92.0,0.09,0.0818,91.0,0.076,0.0803,91.52
107,HRS-only,3480,224,5323a097b23ea54e,0.3,0.3618,70.0,0.24,0.2918,76.0,0.268,0.3146,70.09
107,Random,3480,224,a66afb51580d589d,0.02,0.0149,98.0,0.05,0.0394,95.0,0.064,0.0626,92.86
108,HygienePrio-full,3527,202,8c28bac703cd1b82,0.46,0.5429,54.0,0.44,0.4955,56.0,0.4,0.512,50.5
108,HygienePrio-noInteraction,3527,202,cd869507b5fe0f02,0.44,0.5184,56.0,0.44,0.4875,56.0,0.4,0.5064,50.5
108,HygienePrio-noPatch,3527,202,8177821dda074afb,0.36,0.415,64.0,0.23,0.2936,77.0,0.26,0.3354,67.82
108,HygienePrio-noAD,3527,202,68bce10d0599aab3,0.38,0.4342,62.0,0.4,0.428,60.0,0.36,0.4471,55.45
108,HygienePrio-noFreshness,3527,202,2137a28cc95d495a,0.46,0.5414,54.0,0.43,0.4875,57.0,0.392,0.5026,51.49
108,EPSS-only,3527,202,28645682eff67271,0.24,0.2466,76.0,0.19,0.2054,81.0,0.18,0.2234,77.72
