tau,cell_K,window,adaptive,fixed,gated,lag1,offline,d_ad_fix,d_ad_lag1
0.02,50,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.02,50,2,0.544,0.544,0.7408,0.7408,0.7568,0.0,-0.19679999999999997
0.02,50,3,0.628,0.564,0.628,0.628,0.6648000000000001,0.06400000000000006,0.0
0.02,50,4,0.6064,0.5144,0.6064,0.6064,0.604,0.09200000000000008,0.0
0.02,50,5,0.5207999999999999,0.5207999999999999,0.58,0.58,0.5496,0.0,-0.05920000000000003
0.02,50,6,0.49920000000000003,0.49920000000000003,0.5064,0.5064,0.512,0.0,-0.007199999999999929
0.02,100,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.02,100,2,0.5512,0.5512,0.5552,0.5552,0.6664,0.0,-0.0040000000000000036
0.02,100,3,0.5472,0.5168,0.5472,0.5472,0.5312,0.030399999999999983,0.0
0.02,100,4,0.4064,0.4064,0.4192,0.4192,0.4192,0.0,-0.012800000000000034
0.02,100,5,0.3832,0.3832,0.4008,0.4008,0.4192,0.0,-0.017600000000000005
0.02,100,6,0.3152,0.3152,0.3552,0.3552,0.3456,0.0,-0.040000000000000036
0.02,200,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.02,200,2,0.5176000000000001,0.5176000000000001,0.5176000000000001,0.45840000000000003,0.556,0.0,0.05920000000000003
0.02,200,3,0.3464,0.3464,0.3464,0.2688,0.39520000000000005,0.0,0.0776
0.02,200,4,0.2544,0.2544,0.2544,0.2888,0.28400000000000003,0.0,-0.034399999999999986
0.02,200,5,0.1384,0.1384,0.1384,0.14880000000000002,0.1448,0.0,-0.01040000000000002
0.02,200,6,0.0752,0.0752,0.0752,0.0752,0.0752,0.0,0.0
0.03,50,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.03,50,2,0.544,0.544,0.7408,0.7408,0.7568,0.0,-0.19679999999999997
0.03,50,3,0.628,0.564,0.628,0.628,0.6648000000000001,0.06400000000000006,0.0
0.03,50,4,0.6064,0.5144,0.6064,0.6064,0.604,0.09200000000000008,0.0
0.03,50,5,0.5207999999999999,0.5207999999999999,0.58,0.58,0.5496,0.0,-0.05920000000000003
0.03,50,6,0.49920000000000003,0.49920000000000003,0.5064,0.5064,0.512,0.0,-0.007199999999999929
0.03,100,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.03,100,2,0.5512,0.5512,0.5552,0.5552,0.6664,0.0,-0.0040000000000000036
0.03,100,3,0.5472,0.5168,0.5472,0.5472,0.5312,0.030399999999999983,0.0
0.03,100,4,0.4192,0.4064,0.4192,0.4192,0.4192,0.012800000000000034,0.0
0.03,100,5,0.3832,0.3832,0.4008,0.4008,0.4192,0.0,-0.017600000000000005
0.03,100,6,0.3552,0.3152,0.3552,0.3552,0.3456,0.040000000000000036,0.0
0.03,200,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.03,200,2,0.5176000000000001,0.5176000000000001,0.5176000000000001,0.45840000000000003,0.556,0.0,0.05920000000000003
0.03,200,3,0.3464,0.3464,0.3464,0.2688,0.39520000000000005,0.0,0.0776
0.03,200,4,0.2888,0.2544,0.2544,0.2888,0.28400000000000003,0.034399999999999986,0.0
0.03,200,5,0.1384,0.1384,0.1384,0.14880000000000002,0.1448,0.0,-0.01040000000000002
0.03,200,6,0.0752,0.0752,0.0752,0.0752,0.0752,0.0,0.0
0.05,50,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.05,50,2,0.544,0.544,0.7408,0.7408,0.7568,0.0,-0.19679999999999997
0.05,50,3,0.628,0.564,0.628,0.628,0.6648000000000001,0.06400000000000006,0.0
0.05,50,4,0.6064,0.5144,0.6064,0.6064,0.604,0.09200000000000008,0.0
0.05,50,5,0.5207999999999999,0.5207999999999999,0.58,0.58,0.5496,0.0,-0.05920000000000003
0.05,50,6,0.49920000000000003,0.49920000000000003,0.5064,0.5064,0.512,0.0,-0.007199999999999929
0.05,100,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.05,100,2,0.5512,0.5512,0.5552,0.5552,0.6664,0.0,-0.0040000000000000036
0.05,100,3,0.5472,0.5168,0.5472,0.5472,0.5312,0.030399999999999983,0.0
0.05,100,4,0.4192,0.4064,0.4192,0.4192,0.4192,0.012800000000000034,0.0
0.05,100,5,0.3832,0.3832,0.4008,0.4008,0.4192,0.0,-0.017600000000000005
0.05,100,6,0.3552,0.3152,0.3552,0.3552,0.3456,0.040000000000000036,0.0
0.05,200,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.05,200,2,0.5176000000000001,0.5176000000000001,0.5176000000000001,0.45840000000000003,0.556,0.0,0.05920000000000003
0.05,200,3,0.3464,0.3464,0.3464,0.2688,0.39520000000000005,0.0,0.0776
0.05,200,4,0.2888,0.2544,0.2544,0.2888,0.28400000000000003,0.034399999999999986,0.0
0.05,200,5,0.1384,0.1384,0.1384,0.14880000000000002,0.1448,0.0,-0.01040000000000002
0.05,200,6,0.0752,0.0752,0.0752,0.0752,0.0752,0.0,0.0
0.075,50,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
0.075,50,2,0.544,0.544,0.7408,0.7408,0.7568,0.0,-0.19679999999999997
0.075,50,3,0.628,0.564,0.628,0.628,0.6648000000000001,0.06400000000000006,0.0
0.075,50,4,0.6064,0.5144,0.6064,0.6064,0.604,0.09200000000000008,0.0
0.075,50,5,0.58,0.5207999999999999,0.58,0.58,0.5496,0.05920000000000003,0.0
0.075,50,6,0.49920000000000003,0.49920000000000003,0.5064,0.5064,0.512,0.0,-0.007199999999999929
0.075,100,1,0.5952,0.5952,0.5952,0.5952,0.5952,0.0,0.0
