tau,cell_K,window,cp_delta,cp_fired
0.02,50,1,0.0,False
0.02,50,2,0.144,True
0.02,50,3,-0.008,False
0.02,50,4,-0.004,False
0.02,50,5,-0.064,True
0.02,50,6,0.108,True
0.03,50,1,0.0,False
0.03,50,2,0.144,True
0.03,50,3,-0.008,False
0.03,50,4,-0.004,False
0.03,50,5,-0.064,True
0.03,50,6,0.108,True
0.05,50,1,0.0,False
0.05,50,2,0.144,True
0.05,50,3,-0.008,False
0.05,50,4,-0.004,False
0.05,50,5,-0.064,True
0.05,50,6,0.108,True
0.075,50,1,0.0,False
0.075,50,2,0.144,True
0.075,50,3,-0.008,False
0.075,50,4,-0.004,False
0.075,50,5,-0.064,False
0.075,50,6,0.108,True
0.1,50,1,0.0,False
0.1,50,2,0.144,True
0.1,50,3,-0.008,False
0.1,50,4,-0.004,False
0.1,50,5,-0.064,False
0.1,50,6,0.108,True
0.02,100,1,0.0,False
0.02,100,2,0.144,True
0.02,100,3,-0.004,False
0.02,100,4,-0.024,True
0.02,100,5,-0.092,True
0.02,100,6,0.024,True
0.03,100,1,0.0,False
0.03,100,2,0.144,True
0.03,100,3,-0.004,False
0.03,100,4,-0.024,False
0.03,100,5,-0.092,True
0.03,100,6,0.024,False
0.05,100,1,0.0,False
0.05,100,2,0.144,True
0.05,100,3,-0.004,False
0.05,100,4,-0.024,False
0.05,100,5,-0.092,True
0.05,100,6,0.024,False
0.075,100,1,0.0,False
0.075,100,2,0.144,True
0.075,100,3,-0.004,False
0.075,100,4,-0.024,False
0.075,100,5,-0.092,True
0.075,100,6,0.024,False
0.1,100,1,0.0,False
0.1,100,2,0.144,True
0.1,100,3,-0.004,False
0.1,100,4,-0.024,False
0.1,100,5,-0.092,False
0.1,100,6,0.024,False
0.02,200,1,0.0,False
0.02,200,2,0.144,True
0.02,200,3,-0.16,True
0.02,200,4,-0.02,True
0.02,200,5,-0.096,True
0.02,200,6,-0.136,True
0.03,200,1,0.0,False
0.03,200,2,0.144,True
0.03,200,3,-0.16,True
0.03,200,4,-0.02,False
0.03,200,5,-0.096,True
0.03,200,6,-0.136,True
0.05,200,1,0.0,False
0.05,200,2,0.144,True
0.05,200,3,-0.16,True
0.05,200,4,-0.02,False
0.05,200,5,-0.096,True
0.05,200,6,-0.136,True
0.075,200,1,0.0,False
0.075,200,2,0.144,True
0.075,200,3,-0.16,True
0.075,200,4,-0.02,False
0.075,200,5,-0.096,True
0.075,200,6,-0.136,True
0.1,200,1,0.0,False
0.1,200,2,0.144,True
0.1,200,3,-0.16,True
0.1,200,4,-0.02,False
0.1,200,5,-0.096,False
0.1,200,6,-0.136,True
