cell_K,window,cp_delta,cusum_C_after,fire_cusum,fire_cap
50,1,0.0,0.0,False,False
50,2,0.144,0.0,True,False
50,3,-0.008,0.0,False,False
50,4,-0.004,0.0,False,False
50,5,-0.064,0.024,False,False
50,6,0.108,0.092,False,False
100,1,0.0,0.0,False,False
100,2,0.144,0.0,True,True
100,3,-0.004,0.0,False,False
100,4,-0.024,0.0,False,False
100,5,-0.092,0.052,False,True
100,6,0.024,0.036,False,False
200,1,0.0,0.0,False,False
200,2,0.144,0.0,True,True
200,3,-0.16,0.0,True,True
200,4,-0.02,0.0,False,True
200,5,-0.096,0.056,False,True
200,6,-0.136,0.0,True,True
