cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,105,1,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,105,1,online,0.62,0.7,0.5,0.1,0.2
50,3.0,105,1,offline,0.62,0.7,0.5,0.1,0.2
50,3.0,106,1,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,106,1,online,0.64,0.7,0.5,0.1,0.2
50,3.0,106,1,offline,0.64,0.7,0.5,0.1,0.2
50,3.0,107,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,107,1,online,0.66,0.7,0.5,0.1,0.2
50,3.0,107,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,108,1,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,108,1,online,0.5,0.7,0.5,0.1,0.2
50,3.0,108,1,offline,0.5,0.7,0.5,0.1,0.2
50,3.0,109,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,109,1,online,0.66,0.7,0.5,0.1,0.2
50,3.0,109,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,110,1,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,110,1,online,0.56,0.7,0.5,0.1,0.2
50,3.0,110,1,offline,0.56,0.7,0.5,0.1,0.2
50,3.0,111,1,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,111,1,online,0.58,0.7,0.5,0.1,0.2
50,3.0,111,1,offline,0.58,0.7,0.5,0.1,0.2
50,3.0,112,1,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,112,1,online,0.62,0.7,0.5,0.1,0.2
50,3.0,112,1,offline,0.62,0.7,0.5,0.1,0.2
50,3.0,113,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,113,1,online,0.66,0.7,0.5,0.1,0.2
50,3.0,113,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,114,1,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,114,1,online,0.46,0.7,0.5,0.1,0.2
50,3.0,114,1,offline,0.46,0.7,0.5,0.1,0.2
50,3.0,115,1,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,115,1,online,0.6,0.7,0.5,0.1,0.2
50,3.0,115,1,offline,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,online,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,offline,0.6,0.7,0.5,0.1,0.2
50,3.0,117,1,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,117,1,online,0.64,0.7,0.5,0.1,0.2
50,3.0,117,1,offline,0.64,0.7,0.5,0.1,0.2
50,3.0,118,1,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,118,1,online,0.52,0.7,0.5,0.1,0.2
50,3.0,118,1,offline,0.52,0.7,0.5,0.1,0.2
50,3.0,119,1,fixed,0.7,0.7,0.5,0.1,0.2
50,3.0,119,1,online,0.7,0.7,0.5,0.1,0.2
50,3.0,119,1,offline,0.7,0.7,0.5,0.1,0.2
50,3.0,120,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,120,1,online,0.66,0.7,0.5,0.1,0.2
50,3.0,120,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,121,1,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,121,1,online,0.52,0.7,0.5,0.1,0.2
50,3.0,121,1,offline,0.52,0.7,0.5,0.1,0.2
50,3.0,122,1,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,122,1,online,0.46,0.7,0.5,0.1,0.2
50,3.0,122,1,offline,0.46,0.7,0.5,0.1,0.2
50,3.0,123,1,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,123,1,online,0.64,0.7,0.5,0.1,0.2
50,3.0,123,1,offline,0.64,0.7,0.5,0.1,0.2
50,3.0,124,1,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,124,1,online,0.58,0.7,0.5,0.1,0.2
50,3.0,124,1,offline,0.58,0.7,0.5,0.1,0.2
50,3.0,125,1,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,125,1,online,0.58,0.7,0.5,0.1,0.2
50,3.0,125,1,offline,0.58,0.7,0.5,0.1,0.2
50,3.0,126,1,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,126,1,online,0.6,0.7,0.5,0.1,0.2
50,3.0,126,1,offline,0.6,0.7,0.5,0.1,0.2
50,3.0,127,1,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,127,1,online,0.52,0.7,0.5,0.1,0.2
50,3.0,127,1,offline,0.52,0.7,0.5,0.1,0.2
50,3.0,128,1,fixed,0.72,0.7,0.5,0.1,0.2
50,3.0,128,1,online,0.72,0.7,0.5,0.1,0.2
50,3.0,128,1,offline,0.72,0.7,0.5,0.1,0.2
50,3.0,129,1,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,129,1,online,0.58,0.7,0.5,0.1,0.2
50,3.0,129,1,offline,0.58,0.7,0.5,0.1,0.2
50,3.0,105,2,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,105,2,online,0.72,0.5,0.7,0.0,0.2
50,3.0,105,2,offline,0.7,0.5,0.7,0.1,0.3
50,3.0,106,2,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,106,2,online,0.9,0.5,0.7,0.0,0.2
50,3.0,106,2,offline,0.9,0.5,0.7,0.1,0.3
50,3.0,107,2,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,107,2,online,0.78,0.5,0.7,0.0,0.2
50,3.0,107,2,offline,0.8,0.5,0.7,0.1,0.3
50,3.0,108,2,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,108,2,online,0.82,0.5,0.7,0.0,0.2
50,3.0,108,2,offline,0.8,0.5,0.7,0.1,0.3
50,3.0,109,2,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,109,2,online,0.68,0.5,0.7,0.0,0.2
50,3.0,109,2,offline,0.66,0.5,0.7,0.1,0.3
50,3.0,110,2,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,110,2,online,0.8,0.5,0.7,0.0,0.2
50,3.0,110,2,offline,0.82,0.5,0.7,0.1,0.3
50,3.0,111,2,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,111,2,online,0.72,0.5,0.7,0.0,0.2
50,3.0,111,2,offline,0.74,0.5,0.7,0.1,0.3
50,3.0,112,2,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,112,2,online,0.64,0.5,0.7,0.0,0.2
50,3.0,112,2,offline,0.66,0.5,0.7,0.1,0.3
50,3.0,113,2,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,113,2,online,0.8,0.5,0.7,0.0,0.2
50,3.0,113,2,offline,0.82,0.5,0.7,0.1,0.3
50,3.0,114,2,fixed,0.44,0.7,0.5,0.1,0.2
50,3.0,114,2,online,0.72,0.5,0.7,0.0,0.2
50,3.0,114,2,offline,0.7,0.5,0.7,0.1,0.3
50,3.0,115,2,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,115,2,online,0.66,0.5,0.7,0.0,0.2
50,3.0,115,2,offline,0.7,0.5,0.7,0.1,0.3
50,3.0,116,2,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,116,2,online,0.58,0.5,0.7,0.0,0.2
50,3.0,116,2,offline,0.62,0.5,0.7,0.1,0.3
50,3.0,117,2,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,117,2,online,0.82,0.5,0.7,0.0,0.2
50,3.0,117,2,offline,0.82,0.5,0.7,0.1,0.3
50,3.0,118,2,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,118,2,online,0.72,0.5,0.7,0.0,0.2
50,3.0,118,2,offline,0.74,0.5,0.7,0.1,0.3
50,3.0,119,2,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,119,2,online,0.64,0.5,0.7,0.0,0.2
50,3.0,119,2,offline,0.66,0.5,0.7,0.1,0.3
50,3.0,120,2,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,120,2,online,0.6,0.5,0.7,0.0,0.2
50,3.0,120,2,offline,0.66,0.5,0.7,0.1,0.3
50,3.0,121,2,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,121,2,online,0.7,0.5,0.7,0.0,0.2
50,3.0,121,2,offline,0.72,0.5,0.7,0.1,0.3
50,3.0,122,2,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,122,2,online,0.86,0.5,0.7,0.0,0.2
50,3.0,122,2,offline,0.86,0.5,0.7,0.1,0.3
50,3.0,123,2,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,123,2,online,0.7,0.5,0.7,0.0,0.2
50,3.0,123,2,offline,0.74,0.5,0.7,0.1,0.3
50,3.0,124,2,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,124,2,online,0.84,0.5,0.7,0.0,0.2
