cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,105,1,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,105,1,lag1,0.62,0.7,0.5,0.1,0.2
50,3.0,105,1,trail3,0.62,0.7,0.5,0.1,0.2
50,3.0,105,1,ewma3,0.62,0.7,0.5,0.1,0.2
50,3.0,105,1,offline,0.62,0.7,0.5,0.1,0.2
50,3.0,106,1,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,106,1,lag1,0.64,0.7,0.5,0.1,0.2
50,3.0,106,1,trail3,0.64,0.7,0.5,0.1,0.2
50,3.0,106,1,ewma3,0.64,0.7,0.5,0.1,0.2
50,3.0,106,1,offline,0.64,0.7,0.5,0.1,0.2
50,3.0,107,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,107,1,lag1,0.66,0.7,0.5,0.1,0.2
50,3.0,107,1,trail3,0.66,0.7,0.5,0.1,0.2
50,3.0,107,1,ewma3,0.66,0.7,0.5,0.1,0.2
50,3.0,107,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,108,1,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,108,1,lag1,0.5,0.7,0.5,0.1,0.2
50,3.0,108,1,trail3,0.5,0.7,0.5,0.1,0.2
50,3.0,108,1,ewma3,0.5,0.7,0.5,0.1,0.2
50,3.0,108,1,offline,0.5,0.7,0.5,0.1,0.2
50,3.0,109,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,109,1,lag1,0.66,0.7,0.5,0.1,0.2
50,3.0,109,1,trail3,0.66,0.7,0.5,0.1,0.2
50,3.0,109,1,ewma3,0.66,0.7,0.5,0.1,0.2
50,3.0,109,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,110,1,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,110,1,lag1,0.56,0.7,0.5,0.1,0.2
50,3.0,110,1,trail3,0.56,0.7,0.5,0.1,0.2
50,3.0,110,1,ewma3,0.56,0.7,0.5,0.1,0.2
50,3.0,110,1,offline,0.56,0.7,0.5,0.1,0.2
50,3.0,111,1,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,111,1,lag1,0.58,0.7,0.5,0.1,0.2
50,3.0,111,1,trail3,0.58,0.7,0.5,0.1,0.2
50,3.0,111,1,ewma3,0.58,0.7,0.5,0.1,0.2
50,3.0,111,1,offline,0.58,0.7,0.5,0.1,0.2
50,3.0,112,1,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,112,1,lag1,0.62,0.7,0.5,0.1,0.2
50,3.0,112,1,trail3,0.62,0.7,0.5,0.1,0.2
50,3.0,112,1,ewma3,0.62,0.7,0.5,0.1,0.2
50,3.0,112,1,offline,0.62,0.7,0.5,0.1,0.2
50,3.0,113,1,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,113,1,lag1,0.66,0.7,0.5,0.1,0.2
50,3.0,113,1,trail3,0.66,0.7,0.5,0.1,0.2
50,3.0,113,1,ewma3,0.66,0.7,0.5,0.1,0.2
50,3.0,113,1,offline,0.66,0.7,0.5,0.1,0.2
50,3.0,114,1,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,114,1,lag1,0.46,0.7,0.5,0.1,0.2
50,3.0,114,1,trail3,0.46,0.7,0.5,0.1,0.2
50,3.0,114,1,ewma3,0.46,0.7,0.5,0.1,0.2
50,3.0,114,1,offline,0.46,0.7,0.5,0.1,0.2
50,3.0,115,1,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,115,1,lag1,0.6,0.7,0.5,0.1,0.2
50,3.0,115,1,trail3,0.6,0.7,0.5,0.1,0.2
50,3.0,115,1,ewma3,0.6,0.7,0.5,0.1,0.2
50,3.0,115,1,offline,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,lag1,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,trail3,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,ewma3,0.6,0.7,0.5,0.1,0.2
50,3.0,116,1,offline,0.6,0.7,0.5,0.1,0.2
50,3.0,117,1,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,117,1,lag1,0.64,0.7,0.5,0.1,0.2
50,3.0,117,1,trail3,0.64,0.7,0.5,0.1,0.2
50,3.0,117,1,ewma3,0.64,0.7,0.5,0.1,0.2
50,3.0,117,1,offline,0.64,0.7,0.5,0.1,0.2
50,3.0,118,1,fixed,0.52,0.7,0.5,0.1,0.2
