cell_K,driver,scorer,window,p_at_50
50,CVSS-only,CVSS-only,1,0.0872
50,CVSS-only,CVSS-only,2,0.08960000000000001
50,CVSS-only,CVSS-only,3,0.0824
50,CVSS-only,CVSS-only,4,0.1032
50,CVSS-only,CVSS-only,5,0.1072
50,CVSS-only,CVSS-only,6,0.1168
50,CVSS-only,EPSS-only,1,0.3312
50,CVSS-only,EPSS-only,2,0.3344
50,CVSS-only,EPSS-only,3,0.3432
50,CVSS-only,EPSS-only,4,0.3472
50,CVSS-only,EPSS-only,5,0.3632
50,CVSS-only,EPSS-only,6,0.3856
50,CVSS-only,HRS-only,1,0.28400000000000003
50,CVSS-only,HRS-only,2,0.28559999999999997
50,CVSS-only,HRS-only,3,0.308
50,CVSS-only,HRS-only,4,0.316
50,CVSS-only,HRS-only,5,0.3312
50,CVSS-only,HRS-only,6,0.3296
50,CVSS-only,HygienePrio-full,1,0.5952
50,CVSS-only,HygienePrio-full,2,0.5968
50,CVSS-only,HygienePrio-full,3,0.6016
50,CVSS-only,HygienePrio-full,4,0.6103999999999999
50,CVSS-only,HygienePrio-full,5,0.6224000000000001
50,CVSS-only,HygienePrio-full,6,0.644
50,CVSS-only,Random,1,0.0944
50,CVSS-only,Random,2,0.1048
50,CVSS-only,Random,3,0.1216
50,CVSS-only,Random,4,0.07919999999999999
50,CVSS-only,Random,5,0.1152
50,CVSS-only,Random,6,0.1264
50,EPSS-only,CVSS-only,1,0.0872
50,EPSS-only,CVSS-only,2,0.0832
50,EPSS-only,CVSS-only,3,0.0776
50,EPSS-only,CVSS-only,4,0.07440000000000001
50,EPSS-only,CVSS-only,5,0.0712
50,EPSS-only,CVSS-only,6,0.0696
50,EPSS-only,EPSS-only,1,0.3312
50,EPSS-only,EPSS-only,2,0.35200000000000004
50,EPSS-only,EPSS-only,3,0.3504
50,EPSS-only,EPSS-only,4,0.3416
50,EPSS-only,EPSS-only,5,0.3632
50,EPSS-only,EPSS-only,6,0.3664
50,EPSS-only,HRS-only,1,0.28400000000000003
50,EPSS-only,HRS-only,2,0.2704
50,EPSS-only,HRS-only,3,0.2528
50,EPSS-only,HRS-only,4,0.23920000000000002
50,EPSS-only,HRS-only,5,0.2328
50,EPSS-only,HRS-only,6,0.21359999999999998
50,EPSS-only,HygienePrio-full,1,0.5952
50,EPSS-only,HygienePrio-full,2,0.7631999999999999
50,EPSS-only,HygienePrio-full,3,0.8687999999999999
50,EPSS-only,HygienePrio-full,4,0.8776
50,EPSS-only,HygienePrio-full,5,0.828
50,EPSS-only,HygienePrio-full,6,0.7408
50,EPSS-only,Random,1,0.0944
50,EPSS-only,Random,2,0.07919999999999999
50,EPSS-only,Random,3,0.0912
50,EPSS-only,Random,4,0.08
50,EPSS-only,Random,5,0.07680000000000001
50,EPSS-only,Random,6,0.0824
50,HRS-only,CVSS-only,1,0.0872
50,HRS-only,CVSS-only,2,0.09519999999999999
50,HRS-only,CVSS-only,3,0.10880000000000001
50,HRS-only,CVSS-only,4,0.1168
50,HRS-only,CVSS-only,5,0.1176
50,HRS-only,CVSS-only,6,0.12240000000000001
50,HRS-only,EPSS-only,1,0.3312
50,HRS-only,EPSS-only,2,0.3456
50,HRS-only,EPSS-only,3,0.3576
50,HRS-only,EPSS-only,4,0.3728
50,HRS-only,EPSS-only,5,0.40240000000000004
50,HRS-only,EPSS-only,6,0.4096
50,HRS-only,HRS-only,1,0.28400000000000003
50,HRS-only,HRS-only,2,0.3056
50,HRS-only,HRS-only,3,0.2808
50,HRS-only,HRS-only,4,0.3224
50,HRS-only,HRS-only,5,0.312
50,HRS-only,HRS-only,6,0.32160000000000005
50,HRS-only,HygienePrio-full,1,0.5952
50,HRS-only,HygienePrio-full,2,0.5776
50,HRS-only,HygienePrio-full,3,0.568
50,HRS-only,HygienePrio-full,4,0.5664
50,HRS-only,HygienePrio-full,5,0.5943999999999999
50,HRS-only,HygienePrio-full,6,0.6048
50,HRS-only,Random,1,0.0944
50,HRS-only,Random,2,0.08960000000000001
50,HRS-only,Random,3,0.12560000000000002
50,HRS-only,Random,4,0.1152
50,HRS-only,Random,5,0.1208
