cell_K,cell_lambda,driver,scorer,seed,window,n_pairs,n_positives,p_at_50
50,3.0,HygienePrio-full,HygienePrio-full,105,1,1722,163,0.62
50,3.0,HygienePrio-full,EPSS-only,105,1,1722,163,0.32
50,3.0,HygienePrio-full,HRS-only,105,1,1722,163,0.24
50,3.0,HygienePrio-full,CVSS-only,105,1,1722,163,0.06
50,3.0,HygienePrio-full,Random,105,1,1722,163,0.04
50,3.0,HygienePrio-full,HygienePrio-full,105,2,1682,136,0.56
50,3.0,HygienePrio-full,EPSS-only,105,2,1682,136,0.2
50,3.0,HygienePrio-full,HRS-only,105,2,1682,136,0.22
50,3.0,HygienePrio-full,CVSS-only,105,2,1682,136,0.06
50,3.0,HygienePrio-full,Random,105,2,1682,136,0.1
50,3.0,HygienePrio-full,HygienePrio-full,105,3,1634,116,0.6
50,3.0,HygienePrio-full,EPSS-only,105,3,1634,116,0.14
50,3.0,HygienePrio-full,HRS-only,105,3,1634,116,0.18
50,3.0,HygienePrio-full,CVSS-only,105,3,1634,116,0.06
50,3.0,HygienePrio-full,Random,105,3,1634,116,0.16
50,3.0,HygienePrio-full,HygienePrio-full,105,4,1588,109,0.48
50,3.0,HygienePrio-full,EPSS-only,105,4,1588,109,0.04
50,3.0,HygienePrio-full,HRS-only,105,4,1588,109,0.16
50,3.0,HygienePrio-full,CVSS-only,105,4,1588,109,0.06
50,3.0,HygienePrio-full,Random,105,4,1588,109,0.1
50,3.0,HygienePrio-full,HygienePrio-full,105,5,1543,106,0.56
50,3.0,HygienePrio-full,EPSS-only,105,5,1543,106,0.1
50,3.0,HygienePrio-full,HRS-only,105,5,1543,106,0.06
50,3.0,HygienePrio-full,CVSS-only,105,5,1543,106,0.1
50,3.0,HygienePrio-full,Random,105,5,1543,106,0.06
50,3.0,HygienePrio-full,HygienePrio-full,105,6,1496,88,0.54
50,3.0,HygienePrio-full,EPSS-only,105,6,1496,88,0.06
50,3.0,HygienePrio-full,HRS-only,105,6,1496,88,0.04
50,3.0,HygienePrio-full,CVSS-only,105,6,1496,88,0.04
50,3.0,HygienePrio-full,Random,105,6,1496,88,0.04
50,3.0,HygienePrio-full,HygienePrio-full,106,1,1742,171,0.64
50,3.0,HygienePrio-full,EPSS-only,106,1,1742,171,0.24
50,3.0,HygienePrio-full,HRS-only,106,1,1742,171,0.3
50,3.0,HygienePrio-full,CVSS-only,106,1,1742,171,0.02
50,3.0,HygienePrio-full,Random,106,1,1742,171,0.1
50,3.0,HygienePrio-full,HygienePrio-full,106,2,1694,153,0.56
50,3.0,HygienePrio-full,EPSS-only,106,2,1694,153,0.14
50,3.0,HygienePrio-full,HRS-only,106,2,1694,153,0.3
50,3.0,HygienePrio-full,CVSS-only,106,2,1694,153,0.02
50,3.0,HygienePrio-full,Random,106,2,1694,153,0.08
50,3.0,HygienePrio-full,HygienePrio-full,106,3,1648,137,0.76
50,3.0,HygienePrio-full,EPSS-only,106,3,1648,137,0.2
50,3.0,HygienePrio-full,HRS-only,106,3,1648,137,0.24
50,3.0,HygienePrio-full,CVSS-only,106,3,1648,137,0.02
50,3.0,HygienePrio-full,Random,106,3,1648,137,0.08
50,3.0,HygienePrio-full,HygienePrio-full,106,4,1601,104,0.46
50,3.0,HygienePrio-full,EPSS-only,106,4,1601,104,0.0
50,3.0,HygienePrio-full,HRS-only,106,4,1601,104,0.16
50,3.0,HygienePrio-full,CVSS-only,106,4,1601,104,0.02
50,3.0,HygienePrio-full,Random,106,4,1601,104,0.02
50,3.0,HygienePrio-full,HygienePrio-full,106,5,1553,93,0.56
