cve,epss,percentile,year,in_kev
CVE-2020-0001,0.00104,0.28002,2020,False
CVE-2020-0002,0.00288,0.52551,2020,False
CVE-2020-0003,0.0001,0.01239,2020,False
CVE-2020-0004,0.00037,0.11572,2020,False
CVE-2020-0005,0.00037,0.11584,2020,False
CVE-2020-0006,0.00244,0.47888,2020,False
CVE-2020-0007,0.00017,0.04141,2020,False
CVE-2020-0008,0.00035,0.1073,2020,False
CVE-2020-0009,0.00115,0.2985,2020,False
CVE-2020-0010,0.00033,0.10168,2020,False
CVE-2020-0011,0.00035,0.10653,2020,False
CVE-2020-0012,0.00039,0.12009,2020,False
CVE-2020-0014,0.01172,0.79049,2020,False
CVE-2020-0015,0.00028,0.08353,2020,False
CVE-2020-0016,0.00012,0.01713,2020,False
CVE-2020-0017,0.00034,0.10618,2020,False
CVE-2020-0018,0.00037,0.11496,2020,False
CVE-2020-0019,0.00017,0.04141,2020,False
CVE-2020-0020,0.00034,0.10487,2020,False
CVE-2020-0021,0.01807,0.83187,2020,False
CVE-2020-0022,0.07576,0.91996,2020,False
CVE-2020-0023,0.00114,0.29758,2020,False
CVE-2020-0024,0.00013,0.023,2020,False
CVE-2020-0025,0.00013,0.02133,2020,False
CVE-2020-0026,0.00037,0.11342,2020,False
CVE-2020-0027,0.00034,0.10564,2020,False
CVE-2020-0028,0.01165,0.78992,2020,False
CVE-2020-0029,0.00032,0.09598,2020,False
CVE-2020-0030,0.00034,0.10342,2020,False
CVE-2020-0031,0.00037,0.11292,2020,False
CVE-2020-0032,0.01765,0.82999,2020,False
CVE-2020-0033,0.00037,0.11402,2020,False
CVE-2020-0034,0.08121,0.92324,2020,False
CVE-2020-0035,0.00034,0.10492,2020,False
CVE-2020-0036,8e-05,0.00821,2020,False
CVE-2020-0037,0.01282,0.79959,2020,False
CVE-2020-0038,0.01282,0.79959,2020,False
CVE-2020-0039,0.01282,0.79959,2020,False
CVE-2020-0041,0.23865,0.96126,2020,True
CVE-2020-0042,0.00043,0.13531,2020,False
CVE-2020-0043,0.00043,0.13531,2020,False
CVE-2020-0044,0.00043,0.13531,2020,False
CVE-2020-0045,0.00026,0.07807,2020,False
CVE-2020-0046,0.00035,0.10949,2020,False
CVE-2020-0047,0.00031,0.09262,2020,False
CVE-2020-0048,0.00034,0.10487,2020,False
CVE-2020-0049,0.00872,0.75605,2020,False
CVE-2020-0050,0.00037,0.11584,2020,False
CVE-2020-0051,0.00035,0.10831,2020,False
CVE-2020-0052,0.0001,0.01153,2020,False
CVE-2020-0053,0.00033,0.10168,2020,False
CVE-2020-0054,0.00032,0.09722,2020,False
CVE-2020-0055,0.0006,0.19119,2020,False
CVE-2020-0056,0.00044,0.14072,2020,False
CVE-2020-0057,0.00044,0.14072,2020,False
CVE-2020-0058,0.00049,0.1553,2020,False
CVE-2020-0059,0.00044,0.14072,2020,False
CVE-2020-0060,0.00012,0.01935,2020,False
CVE-2020-0061,0.00013,0.02123,2020,False
CVE-2020-0062,0.00548,0.68297,2020,False
CVE-2020-0063,0.00034,0.10564,2020,False
CVE-2020-0064,0.00019,0.05529,2020,False
CVE-2020-0065,0.00019,0.05529,2020,False
