seed,gaming_fraction,method,p_at_50,n_positives
105,0.0,HygienePrio-full,0.62,163
105,0.0,EPSS-only,0.32,163
105,0.0,HRS-only,0.24,163
105,0.05,HygienePrio-full,0.62,163
105,0.05,EPSS-only,0.26,163
105,0.05,HRS-only,0.24,163
105,0.1,HygienePrio-full,0.64,163
105,0.1,EPSS-only,0.26,163
105,0.1,HRS-only,0.24,163
105,0.15,HygienePrio-full,0.62,163
105,0.15,EPSS-only,0.26,163
105,0.15,HRS-only,0.24,163
105,0.2,HygienePrio-full,0.62,163
105,0.2,EPSS-only,0.26,163
105,0.2,HRS-only,0.24,163
105,0.3,HygienePrio-full,0.62,163
105,0.3,EPSS-only,0.26,163
105,0.3,HRS-only,0.24,163
106,0.0,HygienePrio-full,0.64,171
106,0.0,EPSS-only,0.24,171
106,0.0,HRS-only,0.3,171
106,0.05,HygienePrio-full,0.6,171
106,0.05,EPSS-only,0.14,171
106,0.05,HRS-only,0.3,171
106,0.1,HygienePrio-full,0.54,171
106,0.1,EPSS-only,0.14,171
106,0.1,HRS-only,0.3,171
106,0.15,HygienePrio-full,0.56,171
106,0.15,EPSS-only,0.14,171
106,0.15,HRS-only,0.3,171
106,0.2,HygienePrio-full,0.54,171
106,0.2,EPSS-only,0.12,171
106,0.2,HRS-only,0.3,171
106,0.3,HygienePrio-full,0.52,171
106,0.3,EPSS-only,0.12,171
106,0.3,HRS-only,0.3,171
107,0.0,HygienePrio-full,0.66,172
107,0.0,EPSS-only,0.3,172
107,0.0,HRS-only,0.28,172
107,0.05,HygienePrio-full,0.62,172
107,0.05,EPSS-only,0.18,172
107,0.05,HRS-only,0.28,172
107,0.1,HygienePrio-full,0.62,172
107,0.1,EPSS-only,0.18,172
107,0.1,HRS-only,0.28,172
107,0.15,HygienePrio-full,0.6,172
107,0.15,EPSS-only,0.18,172
107,0.15,HRS-only,0.28,172
107,0.2,HygienePrio-full,0.6,172
107,0.2,EPSS-only,0.18,172
107,0.2,HRS-only,0.28,172
107,0.3,HygienePrio-full,0.6,172
107,0.3,EPSS-only,0.18,172
107,0.3,HRS-only,0.28,172
108,0.0,HygienePrio-full,0.5,155
108,0.0,EPSS-only,0.24,155
108,0.0,HRS-only,0.36,155
108,0.05,HygienePrio-full,0.5,155
108,0.05,EPSS-only,0.18,155
108,0.05,HRS-only,0.36,155
108,0.1,HygienePrio-full,0.44,155
108,0.1,EPSS-only,0.18,155
108,0.1,HRS-only,0.36,155
108,0.15,HygienePrio-full,0.44,155
108,0.15,EPSS-only,0.18,155
108,0.15,HRS-only,0.36,155
108,0.2,HygienePrio-full,0.48,155
108,0.2,EPSS-only,0.18,155
108,0.2,HRS-only,0.36,155
108,0.3,HygienePrio-full,0.44,155
108,0.3,EPSS-only,0.18,155
108,0.3,HRS-only,0.36,155
109,0.0,HygienePrio-full,0.66,167
109,0.0,EPSS-only,0.32,167
109,0.0,HRS-only,0.36,167
109,0.05,HygienePrio-full,0.68,167
109,0.05,EPSS-only,0.14,167
109,0.05,HRS-only,0.36,167
109,0.1,HygienePrio-full,0.68,167
109,0.1,EPSS-only,0.12,167
109,0.1,HRS-only,0.36,167
109,0.15,HygienePrio-full,0.68,167
109,0.15,EPSS-only,0.12,167
109,0.15,HRS-only,0.36,167
109,0.2,HygienePrio-full,0.68,167
109,0.2,EPSS-only,0.12,167
109,0.2,HRS-only,0.36,167
109,0.3,HygienePrio-full,0.68,167
109,0.3,EPSS-only,0.12,167
109,0.3,HRS-only,0.36,167
110,0.0,HygienePrio-full,0.56,172
110,0.0,EPSS-only,0.26,172
110,0.0,HRS-only,0.36,172
110,0.05,HygienePrio-full,0.56,172
110,0.05,EPSS-only,0.22,172
110,0.05,HRS-only,0.36,172
110,0.1,HygienePrio-full,0.54,172
110,0.1,EPSS-only,0.22,172
110,0.1,HRS-only,0.36,172
110,0.15,HygienePrio-full,0.56,172
110,0.15,EPSS-only,0.22,172
110,0.15,HRS-only,0.36,172
110,0.2,HygienePrio-full,0.56,172
110,0.2,EPSS-only,0.22,172
110,0.2,HRS-only,0.36,172
110,0.3,HygienePrio-full,0.56,172
110,0.3,EPSS-only,0.22,172
110,0.3,HRS-only,0.36,172
111,0.0,HygienePrio-full,0.58,167
111,0.0,EPSS-only,0.38,167
111,0.0,HRS-only,0.32,167
111,0.05,HygienePrio-full,0.58,167
111,0.05,EPSS-only,0.24,167
111,0.05,HRS-only,0.32,167
111,0.1,HygienePrio-full,0.58,167
111,0.1,EPSS-only,0.24,167
111,0.1,HRS-only,0.32,167
111,0.15,HygienePrio-full,0.58,167
111,0.15,EPSS-only,0.24,167
111,0.15,HRS-only,0.32,167
111,0.2,HygienePrio-full,0.58,167
111,0.2,EPSS-only,0.24,167
111,0.2,HRS-only,0.32,167
111,0.3,HygienePrio-full,0.6,167
111,0.3,EPSS-only,0.24,167
111,0.3,HRS-only,0.32,167
112,0.0,HygienePrio-full,0.62,164
112,0.0,EPSS-only,0.34,164
112,0.0,HRS-only,0.32,164
112,0.05,HygienePrio-full,0.62,164
112,0.05,EPSS-only,0.16,164
112,0.05,HRS-only,0.32,164
112,0.1,HygienePrio-full,0.62,164
112,0.1,EPSS-only,0.16,164
112,0.1,HRS-only,0.32,164
112,0.15,HygienePrio-full,0.6,164
112,0.15,EPSS-only,0.16,164
112,0.15,HRS-only,0.32,164
112,0.2,HygienePrio-full,0.64,164
112,0.2,EPSS-only,0.16,164
112,0.2,HRS-only,0.32,164
112,0.3,HygienePrio-full,0.64,164
112,0.3,EPSS-only,0.16,164
112,0.3,HRS-only,0.32,164
113,0.0,HygienePrio-full,0.66,173
113,0.0,EPSS-only,0.34,173
113,0.0,HRS-only,0.34,173
113,0.05,HygienePrio-full,0.66,173
113,0.05,EPSS-only,0.16,173
113,0.05,HRS-only,0.34,173
113,0.1,HygienePrio-full,0.66,173
113,0.1,EPSS-only,0.16,173
113,0.1,HRS-only,0.34,173
113,0.15,HygienePrio-full,0.68,173
113,0.15,EPSS-only,0.16,173
113,0.15,HRS-only,0.34,173
113,0.2,HygienePrio-full,0.7,173
113,0.2,EPSS-only,0.16,173
113,0.2,HRS-only,0.34,173
113,0.3,HygienePrio-full,0.7,173
113,0.3,EPSS-only,0.16,173
113,0.3,HRS-only,0.34,173
114,0.0,HygienePrio-full,0.46,157
114,0.0,EPSS-only,0.24,157
114,0.0,HRS-only,0.34,157
114,0.05,HygienePrio-full,0.46,157
114,0.05,EPSS-only,0.14,157
114,0.05,HRS-only,0.34,157
114,0.1,HygienePrio-full,0.46,157
114,0.1,EPSS-only,0.14,157
114,0.1,HRS-only,0.34,157
114,0.15,HygienePrio-full,0.46,157
114,0.15,EPSS-only,0.14,157
114,0.15,HRS-only,0.34,157
114,0.2,HygienePrio-full,0.46,157
114,0.2,EPSS-only,0.14,157
114,0.2,HRS-only,0.34,157
114,0.3,HygienePrio-full,0.46,157
114,0.3,EPSS-only,0.14,157
114,0.3,HRS-only,0.34,157
115,0.0,HygienePrio-full,0.6,139
115,0.0,EPSS-only,0.28,139
115,0.0,HRS-only,0.2,139
115,0.05,HygienePrio-full,0.52,139
115,0.05,EPSS-only,0.18,139
115,0.05,HRS-only,0.2,139
115,0.1,HygienePrio-full,0.5,139
115,0.1,EPSS-only,0.18,139
115,0.1,HRS-only,0.2,139
115,0.15,HygienePrio-full,0.46,139
115,0.15,EPSS-only,0.18,139
115,0.15,HRS-only,0.2,139
