cell_K,cell_lambda,seed,window,method,n_pairs,n_positives,p_at_50,p_at_100,p_at_250
50,1.0,105,1,HygienePrio-full,1722,28,0.46,0.26,0.112
50,1.0,105,1,EPSS-only,1722,28,0.38,0.28,0.112
50,1.0,105,1,HRS-only,1722,28,0.02,0.02,0.036
50,1.0,105,1,CVSS-only,1722,28,0.04,0.03,0.028
50,1.0,105,1,Random,1722,28,0.06,0.03,0.02
50,1.0,105,2,HygienePrio-full,1674,4,0.06,0.04,0.016
50,1.0,105,2,EPSS-only,1674,4,0.08,0.04,0.016
50,1.0,105,2,HRS-only,1674,4,0.0,0.0,0.008
50,1.0,105,2,CVSS-only,1674,4,0.0,0.0,0.004
50,1.0,105,2,Random,1674,4,0.0,0.0,0.0
50,1.0,105,3,HygienePrio-full,1625,1,0.02,0.01,0.004
50,1.0,105,3,EPSS-only,1625,1,0.02,0.01,0.004
50,1.0,105,3,HRS-only,1625,1,0.0,0.0,0.0
50,1.0,105,3,CVSS-only,1625,1,0.0,0.0,0.0
50,1.0,105,3,Random,1625,1,0.0,0.0,0.004
50,1.0,105,4,HygienePrio-full,1578,0,0.0,0.0,0.0
50,1.0,105,4,EPSS-only,1578,0,0.0,0.0,0.0
50,1.0,105,4,HRS-only,1578,0,0.0,0.0,0.0
50,1.0,105,4,CVSS-only,1578,0,0.0,0.0,0.0
50,1.0,105,4,Random,1578,0,0.0,0.0,0.0
50,1.0,105,5,HygienePrio-full,1529,6,0.1,0.06,0.024
50,1.0,105,5,EPSS-only,1529,6,0.12,0.06,0.024
50,1.0,105,5,HRS-only,1529,6,0.0,0.0,0.0
50,1.0,105,5,CVSS-only,1529,6,0.0,0.0,0.004
50,1.0,105,5,Random,1529,6,0.0,0.0,0.0
50,1.0,105,6,HygienePrio-full,1479,2,0.02,0.02,0.008
50,1.0,105,6,EPSS-only,1479,2,0.04,0.02,0.008
50,1.0,105,6,HRS-only,1479,2,0.0,0.0,0.0
50,1.0,105,6,CVSS-only,1479,2,0.0,0.0,0.0
50,1.0,105,6,Random,1479,2,0.0,0.0,0.0
50,1.0,106,1,HygienePrio-full,1742,25,0.42,0.25,0.1
50,1.0,106,1,EPSS-only,1742,25,0.38,0.25,0.1
50,1.0,106,1,HRS-only,1742,25,0.06,0.07,0.064
50,1.0,106,1,CVSS-only,1742,25,0.0,0.0,0.016
50,1.0,106,1,Random,1742,25,0.0,0.01,0.016
50,1.0,106,2,HygienePrio-full,1693,3,0.06,0.03,0.012
